id;ime_gore;drzava;gorovje;visina;vrsta;ogledi;stevilo_slik;stevilo_poti;stevilo_gps_sledi;vpisna_knjiga;sirina;dolzina;priljubljenost_pct;mesto
3956;Sv. Miklavž / St. Nikolaus (Kapfenstein);Avstrija;Hribovje vzhodno od Mure;411;cerkev;115;3;6;0;;46.88903;15.97677;7;3556
3957;Planina nad Borovnico;Slovenija;Goriško, Notranjsko in Snežniško hribovje;729;vrh;1090;7;1;0;;45.92109;14.38079;27;2779
3958;Sveti Duh (Hum);Hrvaška;Jadranski otoki;560;vrh,cerkev;956;15;3;0;;43.03559;16.11536;26;2817
3962;Orlovica;Hrvaška;Jadranski otoki;567;vrh;642;7;3;0;;43.03982;16.11596;23;2951
3963;Špik nad Zadnjo Polico (Pleče);Italija;Julijske Alpe;2680;vrh;255;0;0;0;;46.43769;13.43301;14;3311
3964;Határkőpark;Madžarska, Slovenija;Prekmurje;305;Vremenska napoved:;239;23;4;0;;46.85672;16.31681;13;3331
3966;Titova špilja;Hrvaška;Jadranski otoki;450;Vremenska napoved:;933;15;2;0;;43.03686;16.12102;26;2828
3967;Cerkev sv. Nikolaja (Dolenci);Slovenija;Prekmurje;309;vrh,cerkev;153;7;1;0;;46.85101;16.28697;10;3448
3968;Panoramaschenke Tertinek;Avstrija;Labotniške Alpe;710;koča,planina;136;5;3;0;;46.6558;15.32849;9;3490
3969;Wildkogel;Avstrija;Hribovje vzhodno od Mure;1288;vrh;100;1;3;0;;47.325;15.45658;6;3608
3970;Sv. Janez Krstnik (Janževa Gora);Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;404;vrh,cerkev;291;2;2;0;;46.55341;15.48192;15;3268
3971;Janžev vrh;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;821;vrh;426;2;2;1;;46.57051;15.47086;18;3126
3972;Kranjčeva pečina;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;960;vrh;401;3;2;0;;46.59054;15.4674;18;3150
3973;Slap Šum (Polskavski vintgar);Slovenija;Pohorje, Dravinjske gorice in Haloze;465;slap;643;4;1;0;;46.45484;15.57035;23;2948
3974;Sveti Martin (Šmartno na Pohorju);Slovenija;Pohorje, Dravinjske gorice in Haloze;780;cerkev;258;5;2;0;;46.44534;15.53975;14;3304
3975;Škrbatnica;Slovenija;Karavanke;473;vrh;149;2;1;0;;46.29462;15.69955;10;3456
3976;Sveta Ana nad Stopercami;Slovenija;Karavanke;460;vrh,cerkev;257;6;1;0;;46.29254;15.69753;14;3306
3977;Okrepčevalnica Zelena dolina;Slovenija;Karavanke;360;koča;176;7;1;0;;46.27421;15.69196;11;3411
3978;Cerkev Marije Loretske na Ložnem;Slovenija;Karavanke;481;vrh,cerkev;213;5;2;0;;46.2633;15.69062;12;3364
3979;Rančka;Slovenija;Karavanke;615;vrh;366;2;3;0;1;46.28375;15.56023;17;3181
3980;Turistična kmetija Debelak;Slovenija;Karavanke;405;koča,sedlo;329;1;1;0;;46.28286;15.5524;16;3225
3985;Mali Hum;Hrvaška;Jadranski otoki;515;vrh;312;4;1;0;;43.05592;16.10393;15;3243
3986;Planinski dom Sveti Andrija;Hrvaška;Jadranski otoki;270;vrh,koča;439;10;1;0;;43.05377;16.18379;19;3110
3987;Jama Jespa;Slovenija;Kamniško Savinjske Alpe;1413;Vremenska napoved:;1180;3;3;0;;46.26384;14.81198;28;2749
3988;Stoahandhütte;Avstrija;Hribovje vzhodno od Mure;1317;koča,planina,sedlo;98;2;5;0;;47.35985;15.51021;6;3612
3989;Kopa;Slovenija;Julijske Alpe;1439;vrh;2;4;0;0;;;;0;3824
3991;Planinska koča Omiška Dinara;Hrvaška;Biokovo in Dalmacija;650;koča;428;5;1;0;;43.43045;16.72491;18;3123
3992;Kula (Omiška Dinara);Hrvaška;Biokovo in Dalmacija;863;vrh;1200;6;1;0;;43.43098;16.73082;28;2743
3994;Palagruža;Hrvaška;Jadranski otoki;103;vrh;568;23;1;0;;42.39284;16.25503;21;3010
3995;Vela Straža (otok Šolta);Hrvaška;Jadranski otoki;237;vrh;736;7;2;0;;43.35788;16.35196;24;2912
3996;Stoakoglhütte;Avstrija;Hribovje vzhodno od Mure;1372;koča,planina,sedlo;104;3;5;0;;47.35535;15.56824;6;3596
3998;Almán-Tető;Madžarska;Osrednja Madžarska;317;vrh;94;1;2;0;;46.77212;17.88113;5;3629
3999;Brdo;Slovenija;Posavsko hribovje in Dolenjska;763;vrh;234;0;0;1;;46.19319;15.12262;13;3337
4000;Plešivec (Rudnica);Slovenija;Posavsko hribovje in Dolenjska;686;vrh;788;7;8;0;;46.15797;15.54099;25;2884
4001;Lendrše;Slovenija;Posavsko hribovje in Dolenjska;617;vrh;171;1;5;0;;46.16153;15.54344;11;3422
4002;Koča pri čarovnici;Slovenija;Posavsko hribovje in Dolenjska;410;koča;457;8;1;0;;46.15745;15.55441;19;3095
4003;Zmajevo jezero na Olimski gori;Slovenija;Posavsko hribovje in Dolenjska;550;jezero;566;3;1;0;;46.15129;15.55377;21;3011
4004;Lovski bivak na Olimski gori;Slovenija;Posavsko hribovje in Dolenjska;580;koča;219;4;1;0;;46.1496;15.55035;13;3352
4005;Olimska gora;Slovenija;Posavsko hribovje in Dolenjska;631;vrh;511;1;1;0;;46.15132;15.5517;21;3045
4006;Vetrnik;Slovenija;Posavsko hribovje in Dolenjska;709;vrh;7500;3;1;1;1;46.05889;15.55174;44;2142
4007;Sveti Rok (Skadanščina);Slovenija;Goriško, Notranjsko in Snežniško hribovje;581;cerkev;317;5;2;0;;45.54829;14.01087;15;3238
4008;Velinac;Hrvaška;Velebit;965;vrh;357;8;1;0;;44.55971;15.07215;17;3194
4010;Razgledišče pod Srnjakom nad Logatcem;Slovenija;Goriško, Notranjsko in Snežniško hribovje;800;bivak;2500;12;3;0;;45.8836;14.17073;35;2494
4011;Darinkino zavetišče na Ivcah;Slovenija;Posavsko hribovje in Dolenjska;735;koča,bivak;516;5;2;0;;46.0732;15.33461;21;3043
4012;Ješivec;Slovenija;Posavsko hribovje in Dolenjska;934;vrh;1260;3;4;1;;46.07427;15.3079;29;2731
4013;Mala Lisca;Slovenija;Posavsko hribovje in Dolenjska;934;vrh;1030;1;2;0;;46.06824;15.29235;27;2796
4014;Stari grad Radeče (Ratschach);Slovenija;Posavsko hribovje in Dolenjska;272;vrh;298;4;1;0;;46.06822;15.18132;15;3257
4015;Svinjski rt;Slovenija;Posavsko hribovje in Dolenjska;497;vrh;900;5;1;0;;46.07179;15.17516;26;2841
4016;Sveta Katarina (Zavrate);Slovenija;Posavsko hribovje in Dolenjska;518;cerkev;227;2;1;0;;46.07845;15.16258;13;3346
4017;Sveta Trojica (Čimerno);Slovenija;Posavsko hribovje in Dolenjska;825;cerkev;424;1;3;0;;46.08285;15.11913;18;3129
4018;Grad Kunšperk;Slovenija;Posavsko hribovje in Dolenjska;426;Vremenska napoved:;800;3;2;0;;46.05686;15.69379;25;2877
4019;Previja;Hrvaška;Dinara in Lika;841;vrh;96;7;1;0;;44.43529;15.92326;6;3619
4020;Kremen;Hrvaška;Dinara in Lika;1591;vrh;282;9;1;0;;44.46414;15.88656;14;3279
4022;Spathi (Kreta);Grčija;Grški otoki;2148;vrh;225;5;1;0;;35.11804;25.49723;13;3347
4023;Slap Curk;Slovenija;Julijske Alpe;1115;slap;912;6;1;0;;46.27176;13.63693;26;2836
4024;Vigla (Kerkis) (Samos);Grčija;Grški otoki;1443;vrh;347;6;2;0;;37.72634;26.62205;16;3203
4025;Ledenica na Golteh;Slovenija;Kamniško Savinjske Alpe;1405;Vremenska napoved:;837;2;3;0;;46.37597;14.90357;25;2862
4026;Črno jezero (Končnikova mlakuža);Slovenija;Kamniško Savinjske Alpe;1430;jezero;1200;6;2;0;;46.42173;14.85611;28;2744
4027;Stanglalm;Avstrija;Hribovje vzhodno od Mure;1470;koča,planina,sedlo,cerkev;77;3;2;0;;47.49032;15.54611;4;3686
4028;Stanglalpe;Avstrija;Hribovje vzhodno od Mure;1490;vrh;84;2;2;0;;47.49422;15.53461;5;3653
4029;Leopold-Wittmaier-Hütte;Avstrija;Hribovje vzhodno od Mure;1464;koča,planina;93;3;2;0;;47.49538;15.5323;5;3631
4030;Zastano (Samos);Grčija;Grški otoki;1206;vrh;104;4;1;0;;37.74586;26.63356;6;3597
4031;Schwanberger Brendlhütte;Avstrija;Labotniške Alpe;1566;koča,planina,cerkev;107;3;1;0;;46.76684;15.0738;6;3585
4032;Die Kramerin;Avstrija;Labotniške Alpe;1634;sedlo,cerkev;101;6;1;0;;46.76893;15.05172;6;3603
4033;Glitzhütte (Glitzalm);Avstrija;Labotniške Alpe;1592;koča,planina;64;3;1;0;;46.7738;15.03074;3;3724
4034;Bürgerhalt (Golica /Koralpe);Avstrija;Labotniške Alpe;1943;vrh;130;2;1;0;;46.77881;14.99753;9;3505
4035;Ochsenstein (Golica / Koralpe);Avstrija;Labotniške Alpe;1987;vrh;89;3;2;0;;46.78127;14.99023;5;3640
4036;Glitzfelsen (Golica / Koralpe);Avstrija;Labotniške Alpe;1828;vrh;81;1;1;0;;46.78073;15.02391;4;3671
4037;Kleiner Frauenkogel (Golica / Koralpe);Avstrija;Labotniške Alpe;1861;vrh;86;1;1;0;;46.78196;15.01156;5;3648
4038;Großer Frauenkogel;Avstrija;Labotniške Alpe;1967;vrh;163;4;1;0;;46.78226;14.99987;10;3432
4039;Kab-hegy;Madžarska;Zahodna Madžarska;599;vrh;113;1;1;0;;47.04604;17.65659;7;3560
4040;Sveti Danijel (Zgornji Razbor);Slovenija;Karavanke;882;koča,cerkev;360;1;0;0;;46.44933;15.008;17;3188
4041;Planina Zapleč;Slovenija;Julijske Alpe;1201;planina;627;5;1;0;;46.28413;13.62875;23;2966
4042;Srednji vrh (pri Krnu);Slovenija;Julijske Alpe;2134;vrh;1040;11;1;0;;46.27524;13.65428;27;2791
4043;Javornik / Auernig;Avstrija, Italija;Karnijske Alpe;1864;vrh;582;7;2;0;;46.55823;13.28669;22;2997
4044;Planina Javornik / Auernig Alm;Italija;Karnijske Alpe;1609;planina;284;5;1;0;;46.55445;13.28582;14;3277
4045;Emmis Mosthütte;Avstrija;Karavanke;815;koča;140;1;1;0;;46.53313;14.7847;9;3477
4046;Alte Zollhütte;Avstrija;Karavanke;1665;koča,planina;345;2;1;0;;46.51747;14.7738;16;3204
4047;Berggasthaus Siebenhütten;Avstrija;Karavanke;1700;koča,planina;259;2;1;0;;46.51825;14.7732;14;3303
4048;Planina Kanin / Casera Canin;Italija;Julijske Alpe;1450;bivak,planina;594;13;1;0;;46.34855;13.41924;22;2991
4049;Ezzo's Hütte;Avstrija;Karavanke;1700;koča,planina;380;1;1;0;;46.51867;14.7728;17;3166
4050;Črni Vogel;Italija, Slovenija;Julijske Alpe;2422;vrh;1810;7;1;0;;46.34819;13.44256;32;2623
4051;Alte Bleiburger Hütte;Avstrija;Karavanke;2000;koča;1630;4;1;0;1;46.50593;14.76656;31;2653
4052;Arheološko najdišče Poštela;Slovenija;Pohorje, Dravinjske gorice in Haloze;525;vrh;485;6;1;0;;46.52392;15.61784;20;3061
4054;Waxriegelhaus (Rax);Avstrija;Severne apneniške Alpe;1361;koča,planina;95;4;2;0;;47.68714;15.71808;5;3625
4055;Karl-Ludwig-Haus (Rax);Avstrija;Severne apneniške Alpe;1804;koča,planina;121;10;3;0;;47.68847;15.70419;8;3534
4056;Heukuppe (Rax);Avstrija;Severne apneniške Alpe;2007;vrh;326;7;3;0;;47.68897;15.68951;16;3228
4057;Raxkircherl (Rax);Avstrija;Severne apneniške Alpe;1807;planina,cerkev;131;4;3;0;;47.6864;15.70485;9;3500
4058;Hauereckhütte;Avstrija;Hribovje vzhodno od Mure;1301;koča,jezero,planina,sedlo,cerkev;108;6;2;0;;47.51893;15.69317;7;3576
4059;Holta-Hütte (Rattner Alm);Avstrija;Hribovje vzhodno od Mure;1439;koča,planina;106;2;2;0;;47.52704;15.70759;6;3588
4060;Steinriegel;Avstrija;Hribovje vzhodno od Mure;1577;vrh;126;7;3;0;;47.53551;15.71968;8;3520
4062;Velika Golija (Veliki vrh);Bosna in Hercegovina;Hercegovina;1896;vrh;383;12;1;0;;43.95832;16.85332;17;3162
4063;Ricovero Igor Crasso;Italija;Julijske Alpe;1665;bivak;495;8;1;0;;46.38669;13.36709;20;3053
4064;Sveti Vid (Šentviška gora);Slovenija;Posavsko hribovje in Dolenjska;385;vrh,cerkev;4020;7;3;0;;45.88486;15.59778;40;2315
4065;Astraka;Grčija;Pindsko gorovje;2432;vrh;178;3;1;0;;39.97103;20.77071;11;3407
4066;Tátika vár;Madžarska;Zahodna Madžarska;413;vrh;98;3;1;0;;46.90608;17.25969;6;3613
4069;Schneewinkelspitze;Avstrija;Visoke Ture;3016;vrh;739;7;1;0;;47.0039;13.30155;24;2910
4070;Zinken;Avstrija;Severne apneniške Alpe;1926;vrh;199;9;1;0;;47.59668;15.09607;12;3377
4071;Krniška gora / Garnitzenberg;Avstrija, Italija;Karnijske Alpe;1950;vrh;843;14;2;0;;46.55988;13.29827;25;2859
4072;Heldenkapelle Alpl;Avstrija;Hribovje vzhodno od Mure;985;cerkev;57;2;1;0;;47.50265;15.63421;2;3749
4073;Prenj;Bosna in Hercegovina;Hercegovina;2000;planina;1;0;0;0;;;;0;3827
4074;Gajševsko jezero;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;186;jezero;186;10;1;0;;46.53203;16.1237;11;3396
4076;Veliki Gradac;Hrvaška;Jadranski otoki;157;vrh;145;4;2;0;;42.77647;17.37328;9;3469
4077;Grad Branek (Mallegg);Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;225;Vremenska napoved:;143;2;1;0;;46.51932;16.1317;9;3472
4078;Gorenje pri Zrečah;Slovenija;Pohorje, Dravinjske gorice in Haloze;760;koča,planina,sedlo,cerkev;462;3;2;0;;46.40303;15.39186;19;3089
4079;Leskovški hrib;Slovenija;Posavsko hribovje in Dolenjska;721;vrh;403;0;1;0;;46.03586;15.15741;18;3144
4080;V Pečeh / Casera For;Italija;Karnijske Alpe;1614;planina;276;9;1;0;;46.54895;13.31582;14;3285
4082;Nagyvilágos mérőtorony;Madžarska;Zahodna Madžarska;376;vrh;107;1;2;0;;47.20148;16.42267;6;3586
4083;Sveta Radegunda (Radegunda);Slovenija;Kamniško Savinjske Alpe;824;vrh,cerkev;847;4;1;0;;46.36462;14.92509;25;2857
4084;Gran Paradiso;Italija;Grajiške Alpe;4061;Ogledov: 3.500;3500;14;0;0;;45.51782;7.26709;38;2372
4085;Britmanca;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;1231;vrh;1290;3;3;0;;46.25662;14.18324;29;2723
4086;Planjak;Hrvaška;Jadranski otoki;361;vrh;189;7;1;0;;42.70599;17.71264;12;3389
4087;Wirtshaus Pierergut;Avstrija;Severne apneniške Alpe;950;koča,planina;77;3;2;0;;47.54753;15.23202;4;3687
4088;Bürgeralm;Avstrija;Severne apneniške Alpe;1550;koča,planina,sedlo;96;4;2;0;;47.57174;15.22987;6;3620
4089;Hochstein (pri Mitteralm);Avstrija;Severne apneniške Alpe;1741;vrh;152;8;6;0;;47.59696;15.23486;10;3451
4090;Schönleitenhaus (Windgrube);Avstrija;Severne apneniške Alpe;1809;vrh,koča;128;3;3;0;;47.58073;15.22612;8;3516
4093;Sveti Ilija (Korita);Hrvaška;Jadranski otoki;220;cerkev;87;7;1;0;;42.71288;17.70505;5;3646
4095;Veliki grad (otok Mljet);Hrvaška;Jadranski otoki;514;vrh;498;9;1;0;;42.73921;17.55386;20;3051
4096;Orljak (Čičarija);Hrvaška;Gorski Kotar in Istra;1106;vrh;1160;9;1;0;;45.41946;14.12646;28;2754
4097;Gamila;Grčija;Pindsko gorovje;2497;vrh;161;0;1;0;;;;10;3437
4098;Lärchkogel (Glinska planina / Gleinalpe);Avstrija;Labotniške Alpe;1894;vrh,bivak;118;8;2;0;;47.2411;15.06594;7;3550
4099;Gomila (Čičarija);Hrvaška;Gorski Kotar in Istra;1027;vrh;524;7;1;0;;45.45351;14.08703;21;3036
4100;Mocvil;Hrvaška;Gorski Kotar in Istra;1060;vrh;227;4;2;0;;45.44128;14.11165;13;3344
4101;Jassing Almhütt´n;Avstrija;Severne apneniške Alpe;894;koča;68;3;2;0;;47.56229;15.02932;3;3711
4102;Lamingalm;Avstrija;Severne apneniške Alpe;1263;planina;63;5;1;0;;47.54601;15.00222;3;3728
4103;Leobner Mauer;Avstrija;Severne apneniške Alpe;1870;vrh;146;4;1;0;;47.52938;14.98773;10;3463
4104;Gradina Rašpor;Hrvaška;Gorski Kotar in Istra;823;vrh;137;12;1;0;;45.44364;14.08105;9;3488
4105;Vidonj vrh;Hrvaška;Gorski Kotar in Istra;891;vrh;132;6;1;0;;45.43115;14.11773;9;3498
4106;Gaberlhaus;Avstrija;Labotniške Alpe;1547;koča,sedlo;80;1;3;0;;47.10765;14.9169;4;3676
4107;Altes Almhaus;Avstrija;Labotniške Alpe;1649;koča,planina;121;3;4;0;;47.08299;14.92509;8;3535
4108;Marećica;Hrvaška;Gorski Kotar in Istra;790;vrh;131;5;2;0;;45.42992;14.07845;9;3501
4109;Salzstiegelhaus;Avstrija;Labotniške Alpe;1543;koča,sedlo;75;3;2;0;;47.06854;14.87152;4;3696
4110;Wölkerkogel;Avstrija;Labotniške Alpe;1706;vrh;106;11;2;0;;47.08032;14.92468;6;3589
4111;Brandkogel;Avstrija;Labotniške Alpe;1648;vrh;114;6;1;0;;47.08561;14.93467;7;3557
4112;Soteska Ziljice / Orrido dello Slizza;Italija;Karavanke;675;Vremenska napoved:;16190;24;1;0;;46.50878;13.60353;47;2035
4113;Kosmatica;Hrvaška;Gorski Kotar in Istra;714;Vremenska napoved:;147;4;1;0;;45.43923;14.06465;10;3460
4114;Hochwart;Avstrija;Severne apneniške Alpe;2210;vrh;188;12;2;0;;47.6146;15.11122;11;3392
4116;Kutatsch-Hütte;Avstrija;Severne apneniške Alpe;1700;bivak;72;3;2;0;;47.68419;15.60164;3;3703
4117;Vrtelj;Hrvaška;Gorski Kotar in Istra;767;vrh;108;3;1;0;;45.43476;14.0685;7;3577
4120;Schneealpenhaus;Avstrija;Severne apneniške Alpe;1784;vrh,koča,planina,cerkev;78;6;2;0;;;;4;3684
4121;Michlbauerhütte;Avstrija;Severne apneniške Alpe;1745;Vremenska napoved:;87;3;2;0;;47.69893;15.60087;5;3647
4122;Rjavec;Slovenija;Julijske Alpe;2571;vrh;2770;5;1;0;;46.37179;13.83921;36;2458
4123;Windberg;Avstrija;Severne apneniške Alpe;1903;vrh;177;8;4;0;;47.70316;15.59464;11;3409
4124;Hoher Klapf;Avstrija;Severne apneniške Alpe;1865;vrh;81;2;2;0;;47.70025;15.59544;4;3672
4125;Vrh Zelenic;Slovenija;Julijske Alpe;2478;vrh;1580;5;1;0;;46.37798;13.82222;30;2668
4126;Petrov vrh (nad Daruvarjem);Hrvaška;Slavonsko gorje in Moslavačka gora;614;vrh;580;1;2;0;;45.5854;17.3127;22;3001
4127;Vidikovac Prapoće;Hrvaška;Gorski Kotar in Istra;764;Vremenska napoved:;155;5;1;0;;45.43347;14.07143;10;3443
4128;Planinsko zavetišče Bitorajka;Hrvaška;Gorski Kotar in Istra;1303;bivak;242;7;1;0;;45.29393;14.7879;13;3324
4130;Bitoraj;Hrvaška;Gorski Kotar in Istra;1386;vrh;518;6;1;0;;45.29279;14.79073;21;3041
4131;Črni križ pri Hrastovcu;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;280;Vremenska napoved:;175;5;2;0;;46.57406;15.81188;11;3415
4133;Kozji vrh (nad Prezidom);Hrvaška;Gorski Kotar in Istra;916;vrh;232;7;1;0;;45.62978;14.59068;13;3339
4134;Velika Slavica;Hrvaška;Gorski Kotar in Istra;1120;vrh;166;5;1;0;;45.32535;14.7705;11;3425
4135;Ptujsko jezero;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;218;jezero;473;21;1;0;;46.40074;15.89554;20;3079
4136;Arlov bor;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;1075;Vremenska napoved:;489;6;3;0;;46.63115;15.10545;20;3058
