id;ime_gore;drzava;gorovje;visina;vrsta;ogledi;stevilo_slik;stevilo_poti;stevilo_gps_sledi;vpisna_knjiga;sirina;dolzina;priljubljenost_pct;mesto
1;Triglav;Slovenija;Julijske Alpe;2864;vrh,bivak;1965519;44;29;20;29;46.37832;13.83648;100;1
2;Škrlatica;Slovenija;Julijske Alpe;2740;vrh;905743;24;5;5;3;46.43277;13.82114;99;43
3;Mali Triglav;Slovenija;Julijske Alpe;2725;vrh;540768;4;10;2;18;46.37683;13.84315;93;271
4;Mangart;Italija, Slovenija;Julijske Alpe;2679;vrh;1080776;26;8;5;11;46.43948;13.65457;100;18
5;Visoki Rokav;Slovenija;Julijske Alpe;2646;vrh;534269;2;2;0;;46.43547;13.8283;93;283
6;Jalovec;Slovenija;Julijske Alpe;2645;vrh;1008253;29;10;7;5;46.42154;13.68002;99;26
7;Veliki Oltar;Slovenija;Julijske Alpe;2621;vrh;592432;5;2;1;;46.43919;13.82995;95;191
8;Velika Martuljška Ponca;Slovenija;Julijske Alpe;2602;vrh;525938;5;1;1;;46.44179;13.82419;92;300
9;Razor;Slovenija;Julijske Alpe;2601;vrh;821295;18;5;4;7;46.41194;13.79138;99;57
10;Dolkova špica;Slovenija;Julijske Alpe;2591;vrh;595712;17;6;2;1;46.42574;13.81467;95;187
12;Visoki Kanin;Italija, Slovenija;Julijske Alpe;2587;vrh;671828;11;8;1;;46.36018;13.439;97;120
13;Mali Kanin;Italija, Slovenija;Julijske Alpe;2571;vrh;454587;9;3;0;;46.35727;13.43765;87;483
14;Kanjavec;Slovenija;Julijske Alpe;2569;vrh;705020;15;8;5;4;46.36013;13.80974;97;102
16;Grintovec;Slovenija;Kamniško Savinjske Alpe;2558;vrh;1371010;14;14;4;21;46.35718;14.53548;100;4
17;Glava v Zaplanji;Slovenija;Julijske Alpe;2556;vrh;450281;3;4;0;1;46.37731;13.82801;87;501
18;Prisank / Prisojnik;Slovenija;Julijske Alpe;2547;vrh;1013729;17;12;0;7;46.42464;13.76974;99;22
19;Rogljica;Slovenija;Julijske Alpe;2547;vrh;406115;5;1;0;;46.42769;13.81231;83;641
22;Dovški križ;Slovenija;Julijske Alpe;2542;vrh;553312;4;2;3;1;46.44081;13.8422;93;254
23;Triglavski dom na Kredarici;Slovenija;Julijske Alpe;2515;vrh,koča,cerkev;763581;19;11;3;21;46.37891;13.84928;98;75
25;Jezerska Kočna;Slovenija;Kamniško Savinjske Alpe;2540;vrh;784410;12;14;2;5;46.3587;14.52206;98;64
26;Rž;Slovenija;Julijske Alpe;2538;vrh;505814;14;4;0;3;46.38155;13.8591;91;348
27;Rjavina;Slovenija;Julijske Alpe;2532;vrh;690539;25;9;6;2;46.39185;13.88088;97;111
28;Skuta;Slovenija;Kamniško Savinjske Alpe;2532;vrh;1002359;10;9;4;6;46.36328;14.55768;99;28
31;Kokrska Kočna;Slovenija;Kamniško Savinjske Alpe;2520;vrh;588982;10;8;2;2;46.35713;14.51984;95;196
33;Stenar;Slovenija;Julijske Alpe;2501;vrh;740734;17;6;2;3;46.40795;13.81896;98;84
35;Prestreljenik;Italija, Slovenija;Julijske Alpe;2499;vrh;555160;8;7;2;1;46.36214;13.47237;93;250
40;Veliki Ozebnik;Slovenija;Julijske Alpe;2480;vrh;455059;4;4;0;2;46.41572;13.67936;87;481
42;Dolgi hrbet;Slovenija;Kamniško Savinjske Alpe;2473;vrh;573439;7;6;0;2;46.36285;14.54596;94;222
43;Špik;Slovenija;Julijske Alpe;2472;vrh;884462;18;5;6;2;46.44872;13.81432;99;47
46;Mišeljski Konec;Slovenija;Julijske Alpe;2464;vrh;442961;11;1;1;;46.35458;13.81831;86;526
48;Begunjski vrh;Slovenija;Julijske Alpe;2461;vrh;549484;16;6;2;3;46.39032;13.85436;93;260
49;Štruca;Slovenija;Kamniško Savinjske Alpe;2457;vrh;543084;4;7;0;3;46.36269;14.55315;93;269
50;Kranjska Rinka;Slovenija;Kamniško Savinjske Alpe;2453;vrh;586254;5;7;0;1;46.36565;14.56361;95;198
52;Begunjščica;Slovenija;Karavanke;2060;vrh;1233810;29;14;5;25;46.42166;14.22982;100;7
53;Stol;Avstrija, Slovenija;Karavanke;2236;vrh;1380629;23;20;10;43;46.43402;14.17362;100;3
70;Čelo;Slovenija;Julijske Alpe;2228;vrh;459298;7;7;1;;46.32912;13.74117;88;471
71;Planina Korošica;Slovenija;Karavanke;1554;koča,planina;698197;15;6;0;7;46.43416;14.29156;97;106
72;Košutica;Avstrija, Slovenija;Karavanke;1968;vrh;647288;14;8;3;6;46.43892;14.29909;96;136
73;Veliki Zvoh;Slovenija;Kamniško Savinjske Alpe;1971;vrh,jezero;626677;7;5;4;18;46.3087;14.54165;96;150
74;Veliki vrh (Košuta);Avstrija, Slovenija;Karavanke;2088;vrh;1036506;15;9;2;18;46.43068;14.30956;99;21
75;Polhograjska Grmada;Slovenija;Polhograjsko hribovje in Ljubljana;898;vrh;872714;18;17;6;23;46.08381;14.33304;99;48
76;Blejska koča na Lipanci;Slovenija;Julijske Alpe;1630;koča,planina;811035;18;5;1;20;46.3753;13.92753;98;59
77;Viševnik;Slovenija;Julijske Alpe;2050;vrh;1190122;15;21;6;47;46.35901;13.89829;100;9
78;Vrtača;Avstrija, Slovenija;Karavanke;2181;vrh;924756;17;12;4;18;46.43992;14.21226;99;38
80;Planjava;Slovenija;Kamniško Savinjske Alpe;2392;vrh;855692;10;13;4;11;46.35652;14.61372;99;50
81;Mrežce;Slovenija;Julijske Alpe;1965;vrh;633748;7;8;1;13;46.37759;13.91953;96;142
82;Lipanski vrh;Slovenija;Julijske Alpe;1974;vrh;524268;8;5;2;7;46.37901;13.92016;92;304
83;Tosc;Slovenija;Julijske Alpe;2275;vrh;772882;16;6;8;7;46.35672;13.8684;98;70
84;Debela peč;Slovenija;Julijske Alpe;2014;vrh;1145232;10;13;5;34;46.39071;13.93316;100;14
85;Storžič;Slovenija;Kamniško Savinjske Alpe;2132;vrh;1389688;29;30;9;46;46.35028;14.40472;100;2
87;Črna prst;Slovenija;Julijske Alpe;1844;vrh,koča,bivak;922799;17;18;6;17;46.23062;13.93184;99;39
88;Žleb (Suho ruševje);Avstrija, Slovenija;Karavanke;1916;sedlo;407659;2;1;0;4;46.44258;14.21709;83;633
90;Visoka Ponca;Italija, Slovenija;Julijske Alpe;2274;vrh;578573;12;3;1;;46.46014;13.6974;94;212
91;Dom na Zelenici;Slovenija;Karavanke;1536;koča;818549;19;6;2;62;46.42899;14.23357;98;58
92;Vrh Ljubeljščice (Triangel);Slovenija;Karavanke;1704;vrh;533958;9;3;1;20;46.43219;14.23721;93;284
93;Mangartska koča na Mangartskem sedlu;Slovenija;Julijske Alpe;1906;koča;516143;8;3;0;4;46.43932;13.64065;92;315
94;Dom Planika pod Triglavom;Slovenija;Julijske Alpe;2401;koča;659540;9;9;0;11;46.37154;13.84605;97;129
95;Kamniška koča na Kamniškem sedlu;Slovenija;Kamniško Savinjske Alpe;1864;koča,bivak,sedlo;1267668;13;4;4;20;46.35919;14.59748;100;6
96;Brana;Slovenija;Kamniško Savinjske Alpe;2253;vrh;960210;7;4;2;7;46.35487;14.5874;99;34
97;Kepa;Avstrija, Slovenija;Karavanke;2143;vrh;756860;35;9;3;5;46.50679;13.95249;98;79
98;Cojzova koča na Kokrskem sedlu;Slovenija;Kamniško Savinjske Alpe;1793;koča,bivak,sedlo;826710;8;4;0;19;46.34433;14.54697;99;56
99;Velo polje;Slovenija;Julijske Alpe;1680;planina;475112;8;7;0;;46.35695;13.85513;89;426
100;Koča na Doliču;Slovenija;Julijske Alpe;2151;koča,sedlo;662207;10;10;1;1;46.36487;13.81953;97;126
101;Planina Krstenica;Slovenija;Julijske Alpe;1670;planina;546815;11;3;2;4;46.32596;13.85037;93;262
102;Dom na Komni;Slovenija;Julijske Alpe;1520;koča;891696;10;12;2;17;46.28446;13.77338;99;46
103;Kalška gora;Slovenija;Kamniško Savinjske Alpe;2047;vrh;634640;3;11;2;7;46.34087;14.5476;96;141
105;Triglavska vojašnica Viktorja Emanuela III.;Slovenija;Julijske Alpe;2520;Vremenska napoved:;515747;6;4;0;;46.37661;13.82681;92;317
106;Mišelj vrh;Slovenija;Julijske Alpe;2350;vrh;529582;15;1;2;;46.3565;13.83745;92;294
117;Šmarna gora;Slovenija;Polhograjsko hribovje in Ljubljana;669;vrh,koča,cerkev;925269;9;23;4;37;46.12985;14.46391;99;37
118;Dom na Govejku;Slovenija;Polhograjsko hribovje in Ljubljana;730;koča;565651;7;2;2;4;46.11558;14.34606;94;236
119;Sveti Jakob;Slovenija;Polhograjsko hribovje in Ljubljana;806;vrh,cerkev;718527;20;14;3;43;46.10501;14.36909;98;93
120;Zavetišče v Gozdu;Slovenija;Kamniško Savinjske Alpe;891;koča,cerkev;418612;11;7;1;6;46.34079;14.32825;84;602
121;Koča na Kriški gori;Slovenija;Kamniško Savinjske Alpe;1471;koča;1166841;9;9;3;672;46.35164;14.33335;100;11
122;Tošč;Slovenija;Polhograjsko hribovje in Ljubljana;1021;vrh;744261;15;13;8;16;46.09737;14.32132;98;82
123;Rašica (Vrh Staneta Kosca);Slovenija;Polhograjsko hribovje in Ljubljana;641;vrh,koča;770876;16;14;2;10;46.13972;14.51215;98;71
124;Vrata;Slovenija;Kamniško Savinjske Alpe;1591;vrh;386768;2;1;1;4;46.3531;14.34496;81;709
125;Tolsti vrh;Slovenija;Kamniško Savinjske Alpe;1715;vrh;782816;13;16;10;25;46.34865;14.36322;98;66
126;Šmarjetna gora;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;646;vrh,koča,cerkev;566805;15;7;0;131;46.24369;14.33616;94;235
127;Veliki Snežnik;Slovenija;Goriško, Notranjsko in Snežniško hribovje;1796;vrh,koča;1062027;32;12;1;19;45.5885;14.4476;99;20
128;Toško Čelo;Slovenija;Polhograjsko hribovje in Ljubljana;590;vrh,koča;629081;11;6;3;8;46.08405;14.42213;96;147
129;Dobrča;Slovenija;Kamniško Savinjske Alpe;1634;vrh;902793;14;18;5;29;46.38064;14.25266;99;44
130;Koča na Dobrči;Slovenija;Kamniško Savinjske Alpe;1478;koča;714268;9;14;5;49;46.3762;14.24629;97;97
131;Lešanska planina;Slovenija;Kamniško Savinjske Alpe;1450;koča,planina;432072;9;6;0;10;46.37843;14.25576;86;554
132;Črno jezero;Slovenija;Julijske Alpe;1294;jezero;585861;4;3;1;2;46.29834;13.79533;95;199
133;Koča pri Triglavskih jezerih;Slovenija;Julijske Alpe;1685;koča,jezero,bivak;1164989;22;8;0;3;46.3186;13.77898;100;12
134;Dom na Kališču;Slovenija;Kamniško Savinjske Alpe;1534;koča;729054;11;21;2;55;46.33712;14.41698;98;90
135;Lubnik;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;1025;vrh,koča;839810;15;10;7;142;46.17117;14.26106;99;52
136;Kurešček;Slovenija;Goriško, Notranjsko in Snežniško hribovje;826;vrh,cerkev;538382;14;5;3;128;45.8853;14.55949;93;275
137;Planina Konjščica;Slovenija;Julijske Alpe;1427;koča,planina;573586;17;5;1;;46.3488;13.89645;94;220
138;Studorski preval;Slovenija;Julijske Alpe;1892;sedlo;456544;4;6;0;7;46.35436;13.88201;88;476
139;Vodnikov dom na Velem polju;Slovenija;Julijske Alpe;1817;koča,bivak;712713;6;8;2;9;46.35588;13.86133;97;99
140;Koča na Planini pri Jezeru;Slovenija;Julijske Alpe;1453;koča,jezero,bivak,planina;671376;21;6;0;;46.30968;13.82758;97;121
146;Ojstrica;Slovenija;Kamniško Savinjske Alpe;2350;vrh;1116934;9;17;4;13;46.36395;14.63724;100;16
147;Krekova koča na Ratitovcu;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;1642;vrh,koča,bivak,planina;928393;18;21;2;17;46.23666;14.09056;99;36
148;Velika Raduha;Slovenija;Kamniško Savinjske Alpe;2062;vrh;1145786;16;12;7;15;46.40991;14.73775;100;13
149;Veliki Javornik (Ženiklovec);Slovenija;Karavanke;1716;vrh;453725;9;5;0;5;46.37502;14.40256;87;486
150;Krn;Slovenija;Julijske Alpe;2244;vrh;1127250;23;15;12;11;46.26607;13.65862;100;15
151;Mala Tičarica;Slovenija;Julijske Alpe;2071;vrh;596526;14;4;0;5;46.3202;13.78512;95;184
152;Potoška planina;Slovenija;Karavanke;1270;koča,planina;434292;6;4;0;2;46.43262;14.13469;86;549
153;Tolminski Kuk;Slovenija;Julijske Alpe;2085;vrh;573524;11;11;3;1;46.2605;13.7568;94;221
154;Rzenik;Slovenija;Kamniško Savinjske Alpe;1833;vrh;492552;8;3;1;2;46.32776;14.63334;90;373
155;Cmir;Slovenija;Julijske Alpe;2393;vrh;554745;11;4;1;;46.40065;13.86007;93;251
156;Planina Dedno polje;Slovenija;Julijske Alpe;1560;planina;477030;12;3;0;;46.31511;13.81189;89;419
157;Planina Ovčarija;Slovenija;Julijske Alpe;1660;planina;447048;7;4;1;;46.30959;13.79581;87;515
158;Orožnova koča na planini za Liscem;Slovenija;Julijske Alpe;1346;koča,planina;585815;9;4;0;4;46.24172;13.93748;95;200
162;Dom pri Krnskih jezerih;Slovenija;Julijske Alpe;1385;koča,bivak;589211;6;2;0;;46.28869;13.69618;95;195
163;Krnsko jezero;Slovenija;Julijske Alpe;1391;jezero,planina;910439;11;2;1;;46.2857;13.68434;99;42
164;Pogačnikov dom na Kriških podih;Slovenija;Julijske Alpe;2050;vrh,koča,bivak;987217;8;4;0;15;46.40193;13.8007;99;32
165;Spodnje Kriško jezero;Slovenija;Julijske Alpe;1880;jezero;450085;6;1;0;1;46.39903;13.80185;87;503
166;Orlovo gnezdo (Slap Rinka);Slovenija;Kamniško Savinjske Alpe;1120;slap,koča;525956;7;1;0;3;46.37084;14.59344;92;299
167;Dom na Okrešlju;Slovenija;Kamniško Savinjske Alpe;1396;koča,bivak,planina;703700;1;2;0;3;46.36951;14.58767;97;103
168;Kapela Marije Snežne (Velika planina);Slovenija;Kamniško Savinjske Alpe;1560;vrh,planina,cerkev;549489;9;8;0;6;46.29515;14.6536;93;259
169;Gradišče (Velika planina);Slovenija;Kamniško Savinjske Alpe;1666;vrh,planina;1190361;8;12;0;20;46.29806;14.64394;100;8
170;Domžalski dom na Mali planini;Slovenija;Kamniško Savinjske Alpe;1534;koča,planina;648196;11;7;2;8;46.28916;14.6566;97;134
171;Jezero v Ledvicah;Slovenija;Julijske Alpe;1831;jezero;487126;11;3;0;;46.3402;13.78252;90;393
172;Rjavo jezero;Slovenija;Julijske Alpe;2006;jezero;455701;8;5;0;;46.35541;13.79558;88;477
173;Zeleno jezero;Slovenija;Julijske Alpe;1988;jezero;465353;8;4;0;;46.35125;13.79484;88;454
174;Zajčeva koča;Slovenija;Posavsko hribovje in Dolenjska;742;koča;366440;3;2;1;;46.19715;15.00092;80;775
175;Zasavska koča na Prehodavcih;Slovenija;Julijske Alpe;2071;vrh,koča,bivak;837892;9;7;0;5;46.35856;13.79209;99;53
176;Blegoš;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;1562;vrh;1069446;21;13;5;24;46.16482;14.11352;100;19
177;Koča na Blegošu;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;1391;koča,planina;557555;12;8;4;15;46.16655;14.10554;94;246
178;Krim;Slovenija;Goriško, Notranjsko in Snežniško hribovje;1107;vrh,koča;967766;20;16;12;232;45.92856;14.47138;99;33
179;Dom na Krvavcu;Slovenija;Kamniško Savinjske Alpe;1684;koča,planina;508021;6;4;1;4;46.29635;14.52909;91;335
183;Češka koča na Spodnjih Ravneh;Slovenija;Kamniško Savinjske Alpe;1542;koča,bivak;1011401;7;5;2;19;46.36982;14.53594;99;24
184;Kosijev dom na Vogarju;Slovenija;Julijske Alpe;1054;koča,planina;554227;3;1;0;6;46.29671;13.867;93;252
185;Zavetišče na Biba planini;Slovenija;Kamniško Savinjske Alpe;1300;koča,planina;410364;16;3;0;3;46.24369;14.84021;84;624
186;Sveti Jošt nad Kranjem;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;845;vrh,koča,cerkev;842089;17;12;1;295;46.24281;14.30319;99;51
187;Koča na Starem vrhu;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;1032;koča;428085;5;2;0;;46.17134;14.18371;85;567
188;Osolnik;Slovenija;Polhograjsko hribovje in Ljubljana;858;vrh,cerkev;643993;8;12;2;14;46.13204;14.33437;96;140
189;Dom na Kisovcu;Slovenija;Kamniško Savinjske Alpe;1275;koča,planina;518492;4;4;0;7;46.27358;14.65779;92;310
190;Dom pod Storžičem;Slovenija;Kamniško Savinjske Alpe;1123;koča;605464;5;3;1;8;46.35928;14.38986;96;170
191;Dom na Slivnici;Slovenija;Goriško, Notranjsko in Snežniško hribovje;1078;koča;503862;8;5;0;17;45.78973;14.40584;91;354
192;Kum;Slovenija;Posavsko hribovje in Dolenjska;1220;vrh,koča,cerkev;858965;22;10;5;18;46.08831;15.07395;99;49
193;Dom na Menini planini;Slovenija;Kamniško Savinjske Alpe;1453;koča,planina,cerkev;896036;19;16;1;3;46.26189;14.8194;99;45
194;Tomčeva koča na Poljški planini;Slovenija;Karavanke;1180;koča,planina;456775;14;8;0;4;46.4095;14.20863;88;475
195;Roblekov dom na Begunjščici;Slovenija;Karavanke;1657;koča,bivak,planina;989332;8;9;1;37;46.41783;14.21201;99;31
196;Koča na Golici;Slovenija;Karavanke;1582;koča,planina;596209;8;5;2;17;46.48592;14.06198;95;185
197;Luknja;Slovenija;Julijske Alpe;1766;sedlo;483763;6;2;2;1;46.38798;13.81486;90;400
198;Koča pod Bogatinom;Slovenija;Julijske Alpe;1513;koča,planina;621869;12;3;1;8;46.28775;13.76333;96;154
199;Kocbekov dom na Korošici;Slovenija;Kamniško Savinjske Alpe;1808;koča,bivak,planina;721226;9;13;1;2;46.3557;14.64002;98;92
200;Struška;Avstrija, Slovenija;Karavanke;1944;vrh;567185;11;8;1;6;46.47275;14.12286;94;234
201;Belska planina (Svečica);Slovenija;Karavanke;1700;koča,planina;508262;9;5;0;6;46.47403;14.10882;91;334
202;Pusti Rovt;Slovenija;Karavanke;1296;planina;318554;7;2;0;1;46.47718;14.08992;75;944
203;Dom Valentina Staniča pod Triglavom;Slovenija;Julijske Alpe;2332;koča,bivak;612263;12;12;1;10;46.38703;13.85984;96;162
204;Koča na Soriški planini;Slovenija;Julijske Alpe;1306;koča,planina;572318;7;4;2;3;46.24;14.00737;94;226
205;Možic;Slovenija;Julijske Alpe;1602;vrh;613995;11;8;4;5;46.24182;13.99482;96;160
206;Koča v Krnici;Slovenija;Julijske Alpe;1113;koča;702334;7;3;0;16;46.43236;13.78762;97;105
207;Velika Poljana;Slovenija;Kamniško Savinjske Alpe;1385;koča,planina,sedlo;503450;13;11;3;40;46.34632;14.37922;91;355
208;Mala Poljana;Slovenija;Kamniško Savinjske Alpe;1325;koča,planina;460554;13;6;3;13;46.34862;14.3729;88;465
209;Porezen;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;1630;vrh;912206;32;21;12;10;46.17733;13.97467;99;41
210;Zavetišče pod Špičkom;Slovenija;Julijske Alpe;2064;koča,bivak;567964;3;4;3;4;46.41015;13.67785;94;233
211;Bivak na Jezerih;Slovenija;Julijske Alpe;2118;bivak;435682;1;1;0;1;46.43367;13.83861;86;545
214;Zasavska Sveta gora;Slovenija;Posavsko hribovje in Dolenjska;852;vrh,cerkev;603727;16;9;3;3;46.1285;14.89429;95;175
215;Dom na Mirni gori;Slovenija;Posavsko hribovje in Dolenjska;1000;koča;472794;12;4;0;2;45.62952;15.10311;89;430
216;Bivak na Rušju;Slovenija;Julijske Alpe;1980;bivak;459600;4;1;0;4;46.41748;13.8199;88;470
217;Dom na Poreznu;Slovenija;Škofjeloško, Cerkljansko hribovje in Jelovica;1590;koča,bivak,planina;552150;16;20;0;6;46.17927;13.97624;93;257
218;Spodnji Martuljkov slap;Slovenija;Julijske Alpe;850;slap;326753;1;1;0;1;46.47233;13.82839;76;914
219;Ingotova koča na planini Jesenje;Slovenija;Julijske Alpe;930;koča,planina,cerkev;435497;3;2;0;3;46.4698;13.83131;86;546
220;Zgornji Martuljkov slap;Slovenija;Julijske Alpe;1150;slap;423683;2;2;1;;46.46112;13.83886;85;586
221;Kovačičeva glava;Slovenija;Julijske Alpe;1827;vrh;225967;6;1;0;;46.31981;13.8023;66;1288
222;Slap Suha;Slovenija;Julijske Alpe;950;slap;295381;3;1;0;;46.30581;13.85786;73;1039
223;Dom na Kofcah;Slovenija;Karavanke;1488;koča,planina,cerkev;1363329;18;13;6;42;46.41772;14.3232;100;5
224;Mala Mojstrovka;Slovenija;Julijske Alpe;2332;vrh;947626;9;5;4;21;46.43725;13.73111;99;35
225;Kranjska koča na Ledinah;Slovenija;Kamniško Savinjske Alpe;1700;koča,bivak;681044;5;4;0;4;46.37059;14.54963;97;113
226;Jeterbenk;Slovenija;Polhograjsko hribovje in Ljubljana;774;vrh;506048;13;10;4;24;46.1024;14.38719;91;346
227;Slivnica;Slovenija;Goriško, Notranjsko in Snežniško hribovje;1114;vrh;778697;10;6;7;15;45.79005;14.4081;98;69
228;Zelenci;Slovenija;Julijske Alpe;845;jezero;516622;12;3;0;3;46.49235;13.73771;92;314
229;Počitniški dom v Možnici;Slovenija;Julijske Alpe;793;koča,bivak;327008;3;1;0;;46.38443;13.56775;76;911
230;Mladinski izobraževalni center v Bavšici;Slovenija;Julijske Alpe;725;planina;220286;4;1;0;;46.36914;13.63367;66;1310
231;Logje;Slovenija;Julijske Alpe;840;planina;330226;4;1;0;;46.37498;13.63454;77;899
232;Slap Virje;Slovenija;Julijske Alpe;400;slap,jezero;418382;4;1;0;2;46.33494;13.51418;84;603
233;Slap Parabola;Slovenija;Julijske Alpe;700;slap,jezero;406949;4;1;0;;46.40195;13.60737;83;636
234;Izvir Glijuna;Slovenija;Julijske Alpe;450;Vremenska napoved:;294857;4;1;0;1;46.3352;13.51064;73;1041
235;Korita Soče pri Kršovcu;Slovenija;Julijske Alpe;390;Vremenska napoved:;323878;2;1;0;;46.33341;13.59312;76;924
236;Koča Vrtača;Slovenija;Karavanke;1288;koča;411617;4;1;0;4;46.42974;14.24458;84;620
237;Jarški dom na Mali planini;Slovenija;Kamniško Savinjske Alpe;1520;koča,planina;506398;6;5;0;10;46.2874;14.6607;91;342
238;Planinska koča Iskra na Jakobu;Slovenija;Kamniško Savinjske Alpe;961;koča,cerkev;602779;9;8;0;76;46.31517;14.44093;95;177
239;Toplar;Avstrija, Slovenija;Karavanke;2000;vrh;502117;4;3;2;7;46.43156;14.31668;91;359
240;Slemenova špica;Slovenija;Julijske Alpe;1911;vrh,planina;1002084;11;6;4;17;46.44584;13.7266;99;29
241;Bivak pod Luknjo;Slovenija;Julijske Alpe;1480;bivak;475550;4;1;1;;46.39127;13.82189;89;421
242;Aljažev dom v Vratih;Slovenija;Julijske Alpe;1001;koča,bivak,cerkev;575669;11;1;1;3;46.40904;13.84339;94;216
243;Planina v Lazu;Slovenija;Julijske Alpe;1560;planina;475317;10;2;3;;46.32882;13.82552;89;425
244;Srednji vrh;Slovenija;Kamniško Savinjske Alpe;1853;vrh;568354;10;7;4;16;46.33939;14.4391;94;231
245;Planina Dolga njiva;Slovenija;Kamniško Savinjske Alpe;1600;planina;491172;5;4;1;7;46.33684;14.43331;90;378
246;Planina Spodnja Grintovica;Slovenija;Julijske Alpe;1165;planina;358718;2;2;0;;46.33191;13.86584;79;807
247;Planina Zgornja Grintovica;Slovenija;Julijske Alpe;1250;planina;375119;10;2;0;;46.32841;13.86507;81;742
248;Pri Pastirjih;Slovenija;Kamniško Savinjske Alpe;1430;bivak,planina;367220;3;1;0;1;46.3497;14.59503;80;770
249;Kranjska reber;Slovenija;Kamniško Savinjske Alpe;1435;vrh;494927;12;6;2;3;46.2843;14.71112;90;367
250;Kašna planina;Slovenija;Kamniško Savinjske Alpe;1317;planina;460304;10;3;0;1;46.29;14.7177;88;466
251;Koča Pr Zdravc;Slovenija;Karavanke;1460;koča;275326;3;5;0;1;46.37768;14.3907;71;1105
252;Golica;Avstrija, Slovenija;Karavanke;1835;vrh;1170955;14;12;5;24;46.49132;14.05411;100;10
253;Planina Zgornja Krma;Slovenija;Julijske Alpe;1720;planina;466300;6;1;1;4;46.3682;13.86771;88;449
254;Pršivec;Slovenija;Julijske Alpe;1761;vrh;631085;9;7;2;3;46.2973;13.82122;96;144
255;Planina Viševnik;Slovenija;Julijske Alpe;1625;koča,planina;535402;14;4;4;1;46.30592;13.81746;93;281
256;Mali Draški vrh;Slovenija;Julijske Alpe;2132;vrh;573319;16;8;0;11;46.36293;13.89162;94;224
257;Križ;Slovenija;Julijske Alpe;2410;vrh;619512;9;8;5;5;46.41006;13.81101;96;156
258;Zgornje Kriško jezero;Slovenija;Julijske Alpe;2158;jezero;509832;7;2;0;;46.40847;13.80578;91;330
259;Jezerski Stog;Slovenija;Julijske Alpe;2040;vrh;530398;12;6;1;1;46.33838;13.8449;92;292
260;Planina Jezerce;Slovenija;Julijske Alpe;1720;jezero,planina;425081;4;2;0;;46.33733;13.83825;85;580
261;Poštarski dom na Vršiču;Slovenija;Julijske Alpe;1688;koča;481958;10;6;0;14;46.43244;13.74758;89;406
262;Tičarjev dom na Vršiču;Slovenija;Julijske Alpe;1618;koča;479791;7;4;0;12;46.43278;13.74439;89;413
263;Brda;Slovenija;Julijske Alpe;2008;vrh;531976;9;9;0;17;46.38497;13.92546;93;286
264;Polhograjska Gora (Sveti Lovrenc);Slovenija;Polhograjsko hribovje in Ljubljana;824;vrh,cerkev;575654;19;9;2;4;46.07083;14.29876;94;215
267;Javorov vrh;Slovenija;Kamniško Savinjske Alpe;1434;vrh;512133;7;7;1;10;46.32456;14.46385;92;325
268;Dom Čemšenik;Slovenija;Kamniško Savinjske Alpe;835;koča;441479;4;1;0;30;46.31488;14.46799;86;530
269;Mihov dom na Vršiču;Slovenija;Julijske Alpe;1085;koča;419841;6;1;0;7;46.44342;13.77177;84;597
270;Koča na Gozdu;Slovenija;Julijske Alpe;1226;koča;478836;3;1;0;2;46.43964;13.76252;89;415
271;Ruska kapelica;Slovenija;Julijske Alpe;1130;cerkev;352487;5;1;0;2;46.44288;13.7679;78;828
272;Erjavčeva koča na Vršiču;Slovenija;Julijske Alpe;1525;koča;506338;8;2;0;6;46.43921;13.74934;91;344
273;Šitna glava;Slovenija;Julijske Alpe;2087;vrh;518343;7;1;0;8;46.43914;13.73879;92;311
274;Bašeljski vrh;Slovenija;Kamniško Savinjske Alpe;1744;vrh;545777;6;16;1;17;46.34535;14.41834;93;263
275;Dovška Baba;Avstrija, Slovenija;Karavanke;1891;vrh;765617;15;9;1;8;46.48762;13.99389;98;74
276;Planina Dovška Rožca;Slovenija;Karavanke;1650;koča,planina;451899;8;6;1;4;46.4827;13.98722;87;492
277;Srednji vrh (nad Završnico);Slovenija;Karavanke;1796;vrh;470423;6;5;0;5;46.43064;14.20789;89;439
278;Dom pri izviru Završnice;Slovenija;Karavanke;1425;koča,planina;579478;16;2;1;17;46.42999;14.21832;95;210
279;Slatna;Slovenija;Julijske Alpe;2077;vrh;423390;2;3;2;1;46.32854;13.80515;85;587
280;Kreda;Slovenija;Julijske Alpe;2025;vrh;457337;6;2;1;1;46.32584;13.81186;88;474
281;Kozji vrh;Slovenija;Kamniško Savinjske Alpe;1628;vrh;427288;5;1;3;2;46.36445;14.44617;85;570
283;Pečovnik (kota 1668);Avstrija, Slovenija;Karavanke;1668;vrh;240301;7;2;0;;46.42842;14.44176;68;1240
284;Vratca;Slovenija;Kamniško Savinjske Alpe;1802;vrh;481658;5;5;4;1;46.37036;14.52837;89;408
