gora_id;pot_id;izhodisce;izhodisce_visina_m;sirina;dolzina;cilj;cilj_visina_m;ime_poti;cas_hoje_min;dolzina_km;zahtevnost;oznacena;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev
445;5749;Okrog pri Motniku;784;46.22740;14.83200;Vivodnik;1508;čez Biba planino;145;;1;0;;724;790;Zgornja Savinjska dolina 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;2530;100;1
445;6270;Bela Peč;840;46.25180;14.71610;Vivodnik;1508;čez Ovčje jame;265;;1;0;;668;870;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;580;91;0
445;6262;Bela Peč;840;46.25180;14.71610;Vivodnik;1508;mimo vrha Seduc;260;;1;0;;668;815;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;563;91;0
445;9666;Gornji Grad;436;46.29500;14.80680;Vivodnik;1508;čez Borovnico in mimo jame Jespe;205;;1;1;;1072;1115;Zgornja Savinjska dolina 1 : 50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;301;72;0
445;9662;Gornji Grad;436;46.29500;14.80680;Vivodnik;1508;mimo Strmčnika in jame Jespe;210;;1;1;;1072;1115;Zgornja Savinjska dolina 1 : 50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;236;69;0
445;9663;Gornji Grad;436;46.29500;14.80680;Vivodnik;1508;čez Borovnico in Ovčji stan;195;;1;1;;1072;1100;Zgornja Savinjska dolina 1 : 50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;214;57;0
445;9669;Gornji Grad;436;46.29500;14.80680;Vivodnik;1508;mimo Semprimožnika in jame Jespe;220;;1;1;;1072;1125;Zgornja Savinjska dolina 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;164;87;0
446;1776;Kokra (Podlebelca);559;46.31900;14.49860;Planina Dolga njiva (Krvavec);1688;;180;4.66;2;1;;1129;1129;Kamniške in Savinjske Alpe 1:50.000;čelada;čelada, cepin, dereze;11703;42;3
446;666;Dom na Gospincu;1491;46.29570;14.52140;Planina Dolga njiva (Krvavec);1688;;95;3.98;1;1;;197;350;Kamniške in Savinjske Alpe 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;11589;32;3
446;4569;Planina Jezerca;1410;46.28550;14.53140;Planina Dolga njiva (Krvavec);1688;mimo Doma na Krvavcu;110;4.76;1;1;;278;440;Kamniške in Savinjske Alpe 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;7685;53;0
