id;ime_gore;drzava;gorovje;visina;sirina_dolzina;vrsta;ogledi;priljubljenost;stevilo_slik;stevilo_poti;stevilo_gps_sledi;vpisna_knjiga;povezava
3381;Becherhaus;Italija;Stubajske Alpe;3195;46,96084°N 11,19231°E;koča;692;24% (2930. mesto);6;1;0;;https://www.hribi.net/gora/becherhaus/51/3381
3382;Wilder Pfaff;Avstrija, Italija;Stubajske Alpe;3456;46,96578°N 11,16433°E;vrh;1180;28% (2748. mesto);7;1;0;;https://www.hribi.net/gora/wilder_pfaff/51/3382
3383;Zuckerhütl;Avstrija;Stubajske Alpe;3507;46,9643°N 11,15395°E;vrh;3520;38% (2367. mesto);8;2;0;;https://www.hribi.net/gora/zuckerhutl/51/3383
3384;Wildspitze;Avstrija;Otztalske Alpe;3768;46,88525°N 10,86723°E;vrh;5790;42% (2203. mesto);7;1;0;;https://www.hribi.net/gora/wildspitze/42/3384
3388;test3;Slovenija;Julijske Alpe;2222;;koča, planina;29;1% (3775. mesto);0;0;0;;https://www.hribi.net/gora/test3/1/3388
3390;Gamsspitzl;Avstrija;Stubajske Alpe;3051;46,97888°N 11,20238°E;vrh;1000;27% (2801. mesto);6;1;0;;https://www.hribi.net/gora/gamsspitzl/51/3390
3391;Mejni kamen A 115;Madžarska, Slovenija;Prekmurje;353;46,87665°N 16,23322°E;Vremenska napoved:;1060;27% (2784. mesto);6;7;0;;https://www.hribi.net/gora/mejni_kamen_a_115/163/3391
3392;Špilnik;Slovenija;Goriško, Notranjsko in Snežniško hribovje;1018;45,84151°N 14,18875°E;vrh;4840;41% (2252. mesto);6;2;0;;https://www.hribi.net/gora/spilnik/26/3392
3393;Slatinski vrelec Nuskova;Slovenija;Prekmurje;239;46,81049°N 16,02524°E;slap;882;26% (2845. mesto);3;3;0;1;https://www.hribi.net/gora/slatinski_vrelec_nuskova/163/3393
3394;Beli breg;Slovenija;Prekmurje;346;46,81361°N 16,00783°E;vrh;480;20% (3070. mesto);4;4;0;;https://www.hribi.net/gora/beli_breg/163/3394
3395;Stankov vrh (Bilogora);Hrvaška;Gorjanci, Medvednica in Medžimurje;308;46,08143°N 16,8254°E;vrh;377;17% (3173. mesto);1;2;0;;https://www.hribi.net/gora/stankov_vrh_bilogora/61/3395
3396;Kačova mlaka;Slovenija;Prekmurje;265;46,80331°N 16,08821°E;jezero;446;19% (3100. mesto);2;2;0;;https://www.hribi.net/gora/kacova_mlaka/163/3396
3397;Kamnolom mlinskih kamnov;Slovenija;Posavsko hribovje in Dolenjska;390;46,05983°N 14,63421°E;Vremenska napoved:;1530;30% (2675. mesto);15;1;0;;https://www.hribi.net/gora/kamnolom_mlinskih_kamnov/25/3397
3398;Apneni breg;Slovenija;Prekmurje;352;46,82597°N 15,99472°E;vrh;457;19% (3093. mesto);2;2;0;;https://www.hribi.net/gora/apneni_breg/163/3398
3399;Murjevka;Slovenija;Posavsko hribovje in Dolenjska;443;46,06327°N 14,64083°E;vrh;703;24% (2926. mesto);3;1;0;;https://www.hribi.net/gora/murjevka/25/3399
3400;Grmadnik;Slovenija;Posavsko hribovje in Dolenjska;569;46,05423°N 14,64208°E;vrh;2590;35% (2477. mesto);7;1;0;;https://www.hribi.net/gora/grmadnik/25/3400
3401;Radgonski grad;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;267;46,68286°N 15,98259°E;vrh;475;20% (3076. mesto);4;3;0;;https://www.hribi.net/gora/radgonski_grad/162/3401
3402;Humka (Moslavačka gora);Hrvaška;Slavonsko gorje in Moslavačka gora;487;45,61406°N 16,75355°E;vrh;957;26% (2816. mesto);0;3;0;;https://www.hribi.net/gora/humka_moslavacka_gora/167/3402
3403;Gorički breg;Slovenija;Prekmurje;362;46,86701°N 16,21655°E;vrh;791;25% (2881. mesto);3;1;0;;https://www.hribi.net/gora/goricki_breg/163/3403
3404;Pepelšček;Slovenija;Prekmurje;386;46,80553°N 16,10241°E;vrh;453;19% (3096. mesto);5;2;0;;https://www.hribi.net/gora/pepelscek/163/3404
3405;Sveta Trojica (Gornji Petrovci);Slovenija;Prekmurje;355;46,81425°N 16,22001°E;vrh, cerkev;444;19% (3104. mesto);8;3;0;;https://www.hribi.net/gora/sveta_trojica_gornji_petrovci/163/3405
3406;Liparjev grič;Slovenija;Polhograjsko hribovje in Ljubljana;374;46,02146°N 14,38877°E;vrh;1300;29% (2718. mesto);6;3;0;;https://www.hribi.net/gora/liparjev_gric/5/3406
3407;Kapela v Stanjevcih;Slovenija;Prekmurje;357;46,81051°N 16,18727°E;vrh, cerkev;252;13% (3316. mesto);3;1;0;;https://www.hribi.net/gora/kapela_v_stanjevcih/163/3407
3408;Jezero Križevci;Slovenija;Prekmurje;272;46,79083°N 16,24537°E;jezero;701;24% (2928. mesto);5;1;0;;https://www.hribi.net/gora/jezero_krizevci/163/3408
3409;Kostelgrad;Hrvaška;Gorjanci, Medvednica in Medžimurje;427;46,18495°N 15,74435°E;vrh;388;18% (3158. mesto);4;2;0;;https://www.hribi.net/gora/kostelgrad/61/3409
3410;Piramida (nad Gornjo Radgono);Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;310;46,67742°N 15,96981°E;vrh;1730;31% (2633. mesto);1;2;0;;https://www.hribi.net/gora/piramida_nad_gornjo_radgono/162/3410
3411;Jerman;Slovenija;Karavanke;890;46,48809°N 13,84212°E;Vremenska napoved:;3620;39% (2351. mesto);3;1;0;1;https://www.hribi.net/gora/jerman/11/3411
3413;Vrhovčev grič;Slovenija;Polhograjsko hribovje in Ljubljana;495;46,03054°N 14,37261°E;vrh;1160;28% (2753. mesto);4;5;0;;https://www.hribi.net/gora/vrhovcev_gric/5/3413
3414;Ledavsko jezero;Slovenija;Prekmurje;218;46,74843°N 16,04132°E;jezero;658;23% (2941. mesto);10;2;0;;https://www.hribi.net/gora/ledavsko_jezero/163/3414
3415;Sveti Martin (Stari breg);Slovenija;Prekmurje;307;46,78081°N 16,27739°E;vrh, cerkev;371;17% (3177. mesto);7;1;0;;https://www.hribi.net/gora/sveti_martin_stari_breg/163/3415
3416;Sveta Ana v Slovenskih goricah;Slovenija;Strojna, Košenjak, Kozjak in Slovenske gorice;358;46,64691°N 15,84372°E;vrh, koča, cerkev;925;26% (2833. mesto);3;2;0;;https://www.hribi.net/gora/sveta_ana_v_slovenskih_goricah/162/3416
3417;Similaun;Avstrija, Italija;Otztalske Alpe;3606;46,76378°N 10,88062°E;vrh;2710;36% (2464. mesto);7;1;0;;https://www.hribi.net/gora/similaun/42/3417
3418;Fineilspitze;Avstrija, Italija;Otztalske Alpe;3514;46,78031°N 10,83183°E;vrh;1800;32% (2624. mesto);7;1;0;;https://www.hribi.net/gora/fineilspitze/42/3418
3419;Obeležje v bližini najdišča Ötzija;Italija;Otztalske Alpe;3210;46,77899°N 10,83987°E;Vremenska napoved:;1680;31% (2645. mesto);5;1;0;;https://www.hribi.net/gora/obelezje_v_blizini_najdisca_otzija/42/3419
3420;Hohe Munde - zahodni vrh;Avstrija;Severne apneniške Alpe;2662;47,3473°N 11,07174°E;vrh;348;16% (3201. mesto);6;1;0;;https://www.hribi.net/gora/hohe_munde_-_zahodni_vrh/59/3420
3421;Kamenek;Slovenija;Prekmurje;392;46,77519°N 16,20289°E;vrh;826;25% (2866. mesto);6;2;0;;https://www.hribi.net/gora/kamenek/163/3421
3422;Trestenjak;Slovenija;Prekmurje;304;46,7395°N 16,21098°E;vrh, cerkev;295;15% (3260. mesto);4;2;0;;https://www.hribi.net/gora/trestenjak/163/3422
3423;Ograd;Slovenija;Prekmurje;282;46,73158°N 16,19243°E;vrh, cerkev;351;17% (3198. mesto);3;1;0;;https://www.hribi.net/gora/ograd/163/3423
