gora_id;povezava_poti
8;https://www.hribi.net/izlet/ruski_kriz_velika_martuljska_ponca/1/8/177
9;https://www.hribi.net/izlet/zadnjica_razor/1/9/178
9;https://www.hribi.net/izlet/vrsic_razor/1/9/179
9;https://www.hribi.net/izlet/aljazev_dom_v_vratih_razor_cez_sovatno/1/9/267
9;https://www.hribi.net/izlet/ruski_kriz_razor_cez_krisko_steno/1/9/760
10;https://www.hribi.net/izlet/aljazev_dom_v_vratih_dolkova_spica_zahodna_pot/1/10/181
10;https://www.hribi.net/izlet/aljazev_dom_v_vratih_dolkova_spica_vzhodna_pot/1/10/180
10;https://www.hribi.net/izlet/aljazev_dom_v_vratih_dolkova_spica_po_jv_grebenu/1/10/3300
10;https://www.hribi.net/izlet/ruski_kriz_dolkova_spica_cez_krisko_steno/1/10/270
10;https://www.hribi.net/izlet/pisnica_dolkova_spica_cez_krisko_steno/1/10/6569
10;https://www.hribi.net/izlet/zadnjica_dolkova_spica/1/10/10694
12;https://www.hribi.net/izlet/d_postaja_visoki_kanin/1/12/182
12;https://www.hribi.net/izlet/nevejski_preval_visoki_kanin_via_ferrata_divisione_julia/1/12/2290
12;https://www.hribi.net/izlet/gozdec_visoki_kanin_cez_zadnji_dol/1/12/1744
12;https://www.hribi.net/izlet/nevejski_preval_visoki_kanin_via_ferrata_rosalba_grasselli/1/12/2289
12;https://www.hribi.net/izlet/gozdec_visoki_kanin_mimo_doma_petra_skalarja_na_kaninu/1/12/7455
12;https://www.hribi.net/izlet/gozdec_visoki_kanin_visoka_rezijanska_pot/1/12/9846
12;https://www.hribi.net/izlet/korito___coritis_visoki_kanin_via_normale_resiana/1/12/9842
12;https://www.hribi.net/izlet/korito___coritis_visoki_kanin_via_ferrata_rosalba_grasselli/1/12/9899
13;https://www.hribi.net/izlet/d_postaja_mali_kanin/1/13/271
13;https://www.hribi.net/izlet/gozdec_mali_kanin_visoka_rezijanska_pot/1/13/9943
13;https://www.hribi.net/izlet/korito___coritis_mali_kanin_via_normale_resiana/1/13/9841
14;https://www.hribi.net/izlet/zadnjica_kanjavec_cez_prehodavce/1/14/185
14;https://www.hribi.net/izlet/planina_blato_kanjavec_po_dolini_za_kopico/1/14/186
14;https://www.hribi.net/izlet/koca_pri_savici_kanjavec_po_dolini_triglavskih_jezer/1/14/272
14;https://www.hribi.net/izlet/zadnjica_kanjavec_cez_dolic/1/14/184
14;https://www.hribi.net/izlet/planina_blato_kanjavec_po_dolini_za_debelim_vrhom/1/14/1357
14;https://www.hribi.net/izlet/planina_blato_kanjavec_po_dolini_za_miselj_vrhom/1/14/1358
14;https://www.hribi.net/izlet/planina_blato_kanjavec_cez_planino_krstenico_in_po_dolini_za_debelim_vrhom/1/14/2692
14;https://www.hribi.net/izlet/aljazev_dom_v_vratih_kanjavec/1/14/6500
16;https://www.hribi.net/izlet/v_koncu_grintovec_cez_streho/3/16/54
16;https://www.hribi.net/izlet/suhadolnik_grintovec_cez_streho/3/16/647
16;https://www.hribi.net/izlet/v_koncu_grintovec_cez_kokrsko_in_mlinarsko_sedlo/3/16/538
16;https://www.hribi.net/izlet/ravenska_kocna_grintovec_mimo_zicnice_in_po_frischaufovi_poti/3/16/671
16;https://www.hribi.net/izlet/ravenska_kocna_grintovec_mimo_zicnice_in_po_kremzarjevi_poti/3/16/679
