gora_id;pot_id;izhodisce;sirina_dolzina;cilj;ime_poti;cas_hoje;dolzina_km;zahtevnost;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev;povezava
2377;4967;Studenice (260 m);46,29990°N 15,61380°E;Plešivec (pri Boču) (822 m);zaključek po gozdni cesti;2 h;;lahka označena pot;;562;600;Posavsko hribovje Boč - Bohor 1:50.000;Priporočena oprema (zima):;Avtor: bruny;1833;48;1;https://www.hribi.net/izlet/studenice_plesivec_pri_bocu_zakljucek_po_gozdni_cesti/11/2377/4967
2377;8964;Makole (255 m);46,31815°N 15,66701°E;Plešivec (pri Boču) (822 m);čez Formilo;3 h 15 min;;lahka označena pot, lahka neoznačena steza;;567;600;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;178;72;0;https://www.hribi.net/izlet/makole_plesivec_pri_bocu_cez_formilo/11/2377/8964
2377;8956;Cerovec pod Bočem (275 m);46,24798°N 15,64607°E;Plešivec (pri Boču) (822 m);zahodna pot;2 h;;lahka označena pot, lahka neoznačena steza;;547;570;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;172;50;0;https://www.hribi.net/izlet/cerovec_pod_bocem_plesivec_pri_bocu_zahodna_pot/11/2377/8956
2377;8955;Cerovec pod Bočem (275 m);46,24798°N 15,64607°E;Plešivec (pri Boču) (822 m);vzhodna pot;2 h 15 min;;lahka označena pot, lahka neoznačena steza;;547;600;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;158;57;0;https://www.hribi.net/izlet/cerovec_pod_bocem_plesivec_pri_bocu_vzhodna_pot/11/2377/8955
2377;9633;Okrepčevalnica Zelena dolina (360 m);46,27435°N 15,69302°E;Plešivec (pri Boču) (822 m);;1 h 45 min;;lahka označena pot, lahka neoznačena steza;;462;490;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;108;35;0;https://www.hribi.net/izlet/okrepcevalnica_zelena_dolina_plesivec_pri_bocu/11/2377/9633
2377;9646;Brzika (380 m);46,26720°N 15,71248°E;Plešivec (pri Boču) (822 m);;2 h 15 min;;lahka označena pot, lahka neoznačena steza;;442;525;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;96;44;0;https://www.hribi.net/izlet/brzika_plesivec_pri_bocu/11/2377/9646
2378;4948;Cerkno (325 m);46,13080°N 13,98730°E;Sveti Jošt v Trebenčah (573 m);;1 h;;delno zahtevna neoznačena pot;;248;248;Škofjeloško in Cerkljansko hribovje 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;2179;25;0;https://www.hribi.net/izlet/cerkno_sveti_jost_v_trebencah/21/2378/4948
2379;4964;Studenice (260 m);46,29990°N 15,61380°E;Izvir Toplega (Studeniškega) potoka (295 m);;5 min;;lahka označena pot;;35;35;Posavsko hribovje Boč - Bohor 1:50.000;Priporočena oprema (zima):;Avtor: bruny;5267;19;23;https://www.hribi.net/izlet/studenice_izvir_toplega_studeniskega_potoka/11/2379/4964
2379;5036;Zgornje Poljčane (270 m);46,30395°N 15,58253°E;Izvir Toplega (Studeniškega) potoka (295 m);;50 min;;lahka označena pot;;25;100;Posavsko hribovje Boč - Bohor 1:50.000;Priporočena oprema (zima):;Avtor: bruny;2470;23;3;https://www.hribi.net/izlet/zgornje_poljcane_izvir_toplega_studeniskega_potoka/11/2379/5036
2379;10876;Makole (255 m);46,31815°N 15,66701°E;Izvir Toplega (Studeniškega) potoka (295 m);Jakobova pot;1 h 30 min;5,53 km;lahka označena pot;;40;60;Priporočena oprema (poletje):;Priporočena oprema (zima): cepin, dereze;cepin, dereze;113;28;0;https://www.hribi.net/izlet/makole_izvir_toplega_studeniskega_potoka_jakobova_pot/11/2379/10876
2379;10873;Zgornje Poljčane (270 m);46,30395°N 15,58253°E;Izvir Toplega (Studeniškega) potoka (295 m);po Jakobovi poti;55 min;;lahka označena pot;;25;50;Posavsko hribovje Boč - Bohor 1:50.000;Priporočena oprema (zima):;Ogledov: 95;95;31;0;https://www.hribi.net/izlet/zgornje_poljcane_izvir_toplega_studeniskega_potoka_po_jakobovi_poti/11/2379/10873
2381;4952;Altes Almhaus (1649 m);;Rappoldkogel (1928 m);;1 h 30 min;;lahka označena pot;;279;279;Priporočena oprema (poletje):;Priporočena oprema (zima):;Avtor: bokajbo;2041;11;0;https://www.hribi.net/izlet/altes_almhaus_rappoldkogel/28/2381/4952
2381;9986;Salzstiegelhaus (1543 m);47,06818°N 14,87182°E;Rappoldkogel (1928 m);;1 h 20 min;;delno zahtevna označena pot;;385;400;WK 132 Gleinalpe-Leoben-Voitsberg 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;119;24;0;https://www.hribi.net/izlet/salzstiegelhaus_rappoldkogel/28/2381/9986
2382;4962;Šajda / Schaidasattel (1069 m);46,47940°N 14,46760°E;Kravji vrh / Kuhberg (2017 m);čez Obirsko sedlo;2 h 45 min;;lahka neoznačena steza;;948;948;Karavanke - osrednji del 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;5067;69;0;https://www.hribi.net/izlet/sajda___schaidasattel_kravji_vrh___kuhberg_cez_obirsko_sedlo/11/2382/4962
2382;4963;Šajda / Schaidasattel (1069 m);46,47940°N 14,46760°E;Kravji vrh / Kuhberg (2017 m);strma pot;2 h 30 min;;lahka neoznačena steza;;948;948;Karavanke - osrednji del 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;2899;50;0;https://www.hribi.net/izlet/sajda___schaidasattel_kravji_vrh___kuhberg_strma_pot/11/2382/4963
2384;4970;Kranjski Rak (1029 m);46,28300°N 14,68840°E;Planina Marjanine njive (1220 m);čez Seliški rob;55 min;;lahka neoznačena steza, lahka označena pot;;191;225;Kamniške in Savinjske Alpe 1:50.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;6953;28;0;https://www.hribi.net/izlet/kranjski_rak_planina_marjanine_njive_cez_seliski_rob/3/2384/4970
2385;4984;Matkov kot (850 m);46,41940°N 14,62780°E;Veliki vrh nad Matkovim kotom (1539 m);;2 h;;zelo zahtevno brezpotje;;689;689;Kamniško Savinjske Alpe 1:50 000;čelada;čelada, cepin, dereze;6896;29;3;https://www.hribi.net/izlet/matkov_kot_veliki_vrh_nad_matkovim_kotom/3/2385/4984
2387;4992;Lovrenc na Pohorju (450 m);46,53480°N 15,37920°E;Hlebov vrh (Rdeči Breg) (913 m);;2 h 10 min;6,69 km;lahka označena pot;;463;463;Pohorje 1:50.000;Priporočena oprema (zima): cepin;cepin;5339;31;0;https://www.hribi.net/izlet/lovrenc_na_pohorju_hlebov_vrh_rdeci_breg/4/2387/4992
