gora_id;pot_id;izhodisce;sirina_dolzina;cilj;ime_poti;cas_hoje;dolzina_km;zahtevnost;ferata;visinska_razlika_m;visinska_razlika_po_poti_m;zemljevid;oprema_poletje;oprema_zima;ogledi;stevilo_slik;stevilo_komentarjev;povezava
1;125;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Triglav (2864 m);Tominškova pot;6 h 10 min;6,56 km;zelo zahtevna označena pot;B;1877;1930;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;398612;61;281;https://www.hribi.net/izlet/aljazev_dom_v_vratih_triglav_tominskova_pot/1/1/125
1;133;Konec ceste na Pokljuki (1312 m);46,33860°N 13,90450°E;Triglav (2864 m);čez Planiko in Mali Triglav;6 h;12,11 km;zelo zahtevna označena pot;;1552;1700;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;298701;109;154;https://www.hribi.net/izlet/konec_ceste_na_pokljuki_triglav_cez_planiko_in_mali_triglav/1/1/133
1;129;Dolina Krma (930 m);46,38510°N 13,90710°E;Triglav (2864 m);čez Kredarico;6 h 15 min;9,67 km;zelo zahtevna označena pot;;1934;1985;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;290379;82;97;https://www.hribi.net/izlet/dolina_krma_triglav_cez_kredarico/1/1/129
1;127;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Triglav (2864 m);čez Plemenice;6 h 30 min;7,95 km;zelo zahtevna označena pot;B/C;1877;1900;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;241601;73;212;https://www.hribi.net/izlet/aljazev_dom_v_vratih_triglav_cez_plemenice/1/1/127
1;126;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Triglav (2864 m);čez Prag;6 h 20 min;8,22 km;zelo zahtevna označena pot;;1877;1930;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;214290;66;178;https://www.hribi.net/izlet/aljazev_dom_v_vratih_triglav_cez_prag/1/1/126
1;130;Dolina Krma (930 m);46,38510°N 13,90710°E;Triglav (2864 m);čez Planiko in Mali Triglav;6 h;9,19 km;zelo zahtevna označena pot;;1934;1970;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;205416;84;118;https://www.hribi.net/izlet/dolina_krma_triglav_cez_planiko_in_mali_triglav/1/1/130
1;248;Koča pri Savici (653 m);46,28960°N 13,80220°E;Triglav (2864 m);po Dolini Triglavskih jezer;8 h 55 min;17,11 km;zelo zahtevna označena pot;;2211;2530;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;179004;109;66;https://www.hribi.net/izlet/koca_pri_savici_triglav_po_dolini_triglavskih_jezer/1/1/248
1;163;Zadnjica (642 m);46,38240°N 13,76040°E;Triglav (2864 m);čez Dolič;7 h 30 min;13,21 km;zelo zahtevna označena pot;;2222;2245;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;148648;64;109;https://www.hribi.net/izlet/zadnjica_triglav_cez_dolic/1/1/163
1;1098;Rudno polje (1347 m);46,34580°N 13,92360°E;Triglav (2864 m);čez Kredarico;6 h 40 min;12,98 km;zelo zahtevna označena pot;;1517;1800;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;134931;127;33;https://www.hribi.net/izlet/rudno_polje_triglav_cez_kredarico/1/1/1098
1;797;Konec  ceste na Pokljuki (1312 m);46,33860°N 13,90450°E;Triglav (2864 m);čez Planiko in Triglavsko škrbino;5 h 55 min;12,07 km;zelo zahtevna označena pot;;1552;1680;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;101068;111;45;https://www.hribi.net/izlet/konec__ceste_na_pokljuki_triglav_cez_planiko_in_triglavsko_skrbino/1/1/797
1;132;Konec ceste na Pokljuki (1312 m);46,33860°N 13,90450°E;Triglav (2864 m);čez Kredarico;6 h 15 min;12,16 km;zelo zahtevna označena pot;;1552;1710;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;90205;108;7;https://www.hribi.net/izlet/konec_ceste_na_pokljuki_triglav_cez_kredarico/1/1/132
1;128;Dolina Kot (950 m);46,41570°N 13,89770°E;Triglav (2864 m);;6 h 25 min;8,67 km;zelo zahtevna označena pot;;1914;2065;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;79759;97;12;https://www.hribi.net/izlet/dolina_kot_triglav/1/1/128
1;131;Dolina Krma (930 m);46,38510°N 13,90710°E;Triglav (2864 m);čez Planiko in Triglavsko škrbino;5 h 55 min;9,14 km;zelo zahtevna označena pot;;1934;1950;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;74419;86;38;https://www.hribi.net/izlet/dolina_krma_triglav_cez_planiko_in_triglavsko_skrbino/1/1/131
1;2539;Turkov rovt (Vrata) (941 m);46,41790°N 13,85800°E;Triglav (2864 m);po dolini Za Cmirom;6 h 25 min;8,36 km;lahko brezpotje, zelo zahtevna označena pot;;1923;2020;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;61819;85;6;https://www.hribi.net/izlet/turkov_rovt_vrata_triglav_po_dolini_za_cmirom/1/1/2539
1;162;Zadnjica (642 m);46,38240°N 13,76040°E;Triglav (2864 m);čez Plemenice;7 h 20 min;10,91 km;zelo zahtevna označena pot;B/C;2222;2230;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;56366;72;22;https://www.hribi.net/izlet/zadnjica_triglav_cez_plemenice/1/1/162
1;1855;Rudno polje (1347 m);46,34580°N 13,92360°E;Triglav (2864 m);čez Kugyjevo polico;7 h 35 min;14,61 km;zahtevno brezpotje, zelo zahtevna označena pot;;1517;2000;Triglav 1 : 25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;44491;113;6;https://www.hribi.net/izlet/rudno_polje_triglav_cez_kugyjevo_polico/1/1/1855
1;2869;Planina Blato (1147 m);46,31120°N 13,85010°E;Triglav (2864 m);čez Grintovico, Planiko in Mali Triglav;6 h 50 min;13,18 km;lahka neoznačena steza, zelo zahtevna označena pot;;1717;1880;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;40938;112;3;https://www.hribi.net/izlet/planina_blato_triglav_cez_grintovico_planiko_in_mali_triglav/1/1/2869
1;160;Uskovnica (Razpotje) (1215 m);46,32670°N 13,91070°E;Triglav (2864 m);čez Planiko in Mali Triglav;6 h 30 min;13,04 km;zelo zahtevna označena pot;;1649;1875;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;34298;108;23;https://www.hribi.net/izlet/uskovnica_razpotje_triglav_cez_planiko_in_mali_triglav/1/1/160
1;161;Stara Fužina (573 m);46,29030°N 13,88680°E;Triglav (2864 m);čez Planiko in Mali Triglav;7 h 50 min;16,41 km;zelo zahtevna označena pot;;2291;2400;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;32677;131;2;https://www.hribi.net/izlet/stara_fuzina_triglav_cez_planiko_in_mali_triglav/1/1/161
1;2284;Zadnjica (642 m);46,38240°N 13,76040°E;Triglav (2864 m);čez Komar;7 h 10 min;10,23 km;zelo zahtevna označena pot;;2222;2235;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;32107;74;24;https://www.hribi.net/izlet/zadnjica_triglav_cez_komar/1/1/2284
1;733;Planina Blato (1147 m);46,31120°N 13,85010°E;Triglav (2864 m);po dolini Za Kopico;8 h;15,42 km;zelo zahtevna označena pot;;1717;2100;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;31191;102;10;https://www.hribi.net/izlet/planina_blato_triglav_po_dolini_za_kopico/1/1/733
1;1056;Stara Fužina (573 m);46,29030°N 13,88680°E;Triglav (2864 m);čez Planiko in Triglavsko škrbino;7 h 45 min;16,35 km;zelo zahtevna označena pot;;2291;2380;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;26625;133;12;https://www.hribi.net/izlet/stara_fuzina_triglav_cez_planiko_in_triglavsko_skrbino/1/1/1056
1;782;Uskovnica (Razpotje) (1215 m);46,32670°N 13,91070°E;Triglav (2864 m);čez Triglavsko škrbino;6 h 25 min;12,93 km;zelo zahtevna označena pot;;1649;1750;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;23052;110;2;https://www.hribi.net/izlet/uskovnica_razpotje_triglav_cez_triglavsko_skrbino/1/1/782
1;8744;Rudno polje (1347 m);46,34580°N 13,92360°E;Triglav (2864 m);mimo Doma Planika in čez Mali Triglav;6 h 25 min;12,92 km;zelo zahtevna označena pot;;1517;1775;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;20730;128;3;https://www.hribi.net/izlet/rudno_polje_triglav_mimo_doma_planika_in_cez_mali_triglav/1/1/8744
1;8153;Zadnjica (650 m);46,38240°N 13,76040°E;Triglav (2864 m);Kugyjeva pot na Triglav;7 h 30 min;11,34 km;zelo zahtevna označena pot, zahtevna neoznačena steza;;2214;2214;Triglav 1:25000;čelada, komplet za samovarovanje, cepin;čelada, komplet za samovarovanje, cepin, dereze, svetilka;7820;23;6;https://www.hribi.net/izlet/zadnjica_triglav_kugyjeva_pot_na_triglav/1/1/8153
1;5948;Uskovnica (Lom) (1076 m);46,31330°N 13,90540°E;Triglav (2864 m);čez Triglavsko škrbino;6 h 30 min;13,89 km;zelo zahtevna označena pot;;1788;2000;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;5310;141;1;https://www.hribi.net/izlet/uskovnica_lom_triglav_cez_triglavsko_skrbino/1/1/5948
1;6195;Srednja vas (583 m);46,29750°N 13,92310°E;Triglav (2864 m);Za Ribnico in čez Triglavsko škrbino;8 h 5 min;16,91 km;zelo zahtevna označena pot;;2281;2485;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;4110;160;0;https://www.hribi.net/izlet/srednja_vas_triglav_za_ribnico_in_cez_triglavsko_skrbino/1/1/6195
1;10693;Rudno polje (1347 m);46,34580°N 13,92360°E;Triglav (2864 m);mimo Doma Planika in čez Triglavsko škrbino;6 h 20 min;12,84 km;zelo zahtevna označena pot;;1517;1675;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;1380;130;0;https://www.hribi.net/izlet/rudno_polje_triglav_mimo_doma_planika_in_cez_triglavsko_skrbino/1/1/10693
2;136;Aljažev dom v Vratih (1015 m);46,41280°N 13,84660°E;Škrlatica (2740 m);;6 h;6,54 km;zelo zahtevna označena pot;;1725;1800;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;326300;93;435;https://www.hribi.net/izlet/aljazev_dom_v_vratih_skrlatica/1/2/136
2;137;Ruski križ (1036 m);46,44440°N 13,77460°E;Škrlatica (2740 m);čez Kriško steno;7 h 45 min;9,93 km;zelo zahtevna označena pot;;1704;2240;Triglav 1.25.000;čelada, komplet za samovarovanje, cepin, dereze;čelada, komplet za samovarovanje, cepin, dereze;47459;91;6;https://www.hribi.net/izlet/ruski_kriz_skrlatica_cez_krisko_steno/1/2/137
2;2533;Zadnjica (650 m);46,38240°N 13,76040°E;Škrlatica (2740 m);;8 h 55 min;14,53 km;zelo zahtevna označena pot;;2090;2440;Triglav 1:25.000;čelada, komplet za samovarovanje, cepin, dereze;čelada, komplet za samovarovanje;38282;102;17;https://www.hribi.net/izlet/zadnjica_skrlatica/1/2/2533
2;4791;Gozd Martuljek  (750 m);46,48210°N 13,83780°E;Škrlatica (2740 m);grebensko prečenje Mali Oltar-Škrlatica;14 h 30 min;;alpinistični vzpon;;1990;3800;Kranjska Gora 1:30.000;čelada;Avtor: JusAvgustin;32473;28;13;https://www.hribi.net/izlet/gozd_martuljek__skrlatica_grebensko_precenje_mali_oltar-skrlatica/1/2/4791
2;6594;Pišnica (850 m);46,46880°N 13,78330°E;Škrlatica (2740 m);čez Kriško steno;8 h 25 min;12,14 km;zelo zahtevna označena pot;;1890;2210;Kranjska Gora 1:30.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;8170;97;3;https://www.hribi.net/izlet/pisnica_skrlatica_cez_krisko_steno/1/2/6594
3;694;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Mali Triglav (2725 m);Tominškova pot;5 h 35 min;5,99 km;zelo zahtevna označena pot;;1738;1770;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;21842;47;0;https://www.hribi.net/izlet/aljazev_dom_v_vratih_mali_triglav_tominskova_pot/1/3/694
3;258;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Mali Triglav (2725 m);čez Prag;5 h 45 min;7,65 km;zelo zahtevna označena pot;;1738;1770;Triglav1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;13891;52;0;https://www.hribi.net/izlet/aljazev_dom_v_vratih_mali_triglav_cez_prag/1/3/258
3;563;Dolina Kot (950 m);46,41570°N 13,89770°E;Mali Triglav (2725 m);;5 h 50 min;8,10 km;zelo zahtevna označena pot;;1775;1905;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;8429;83;0;https://www.hribi.net/izlet/dolina_kot_mali_triglav/1/3/563
3;10675;Dolina Krma (944 m);46,38510°N 13,90710°E;Mali Triglav (2725 m);mimo Doma Planika pod Triglavom;5 h 25 min;8,62 km;zelo zahtevna označena pot;;1781;1800;Triglav 1:25.000;Priporočena oprema (zima): cepin, dereze;cepin, dereze;136;70;0;https://www.hribi.net/izlet/dolina_krma_mali_triglav_mimo_doma_planika_pod_triglavom/1/3/10675
3;10690;Rudno polje (1347 m);46,34580°N 13,92360°E;Mali Triglav (2725 m);mimo Doma Planika;5 h 50 min;12,33 km;zelo zahtevna označena pot;;1378;1550;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;109;114;0;https://www.hribi.net/izlet/rudno_polje_mali_triglav_mimo_doma_planika/1/3/10690
3;10701;Konec ceste na Pokljuki (1312 m);46,33860°N 13,90450°E;Mali Triglav (2725 m);čez Kredarico;5 h 40 min;11,61 km;zelo zahtevna označena pot;;1413;1560;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;106;104;0;https://www.hribi.net/izlet/konec_ceste_na_pokljuki_mali_triglav_cez_kredarico/1/3/10701
3;10660;Dolina Krma (930 m);46,38510°N 13,90710°E;Mali Triglav (2725 m);čez Kredarico;5 h 40 min;9,11 km;zelo zahtevna označena pot;;1795;1830;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;106;68;0;https://www.hribi.net/izlet/dolina_krma_mali_triglav_cez_kredarico/1/3/10660
3;10700;Konec ceste na Pokljuki (1312 m);46,33860°N 13,90450°E;Mali Triglav (2725 m);čez Planiko;5 h 25 min;11,55 km;zelo zahtevna označena pot;;1413;1550;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;85;105;0;https://www.hribi.net/izlet/konec_ceste_na_pokljuki_mali_triglav_cez_planiko/1/3/10700
3;10696;Rudno polje (1347 m);46,34580°N 13,92360°E;Mali Triglav (2725 m);čez kredarico;6 h 5 min;12,41 km;zelo zahtevna označena pot;;1378;1630;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;79;113;0;https://www.hribi.net/izlet/rudno_polje_mali_triglav_cez_kredarico/1/3/10696
3;10703;Uskovnica (Razpotje) (1215 m);46,32670°N 13,91070°E;Mali Triglav (2725 m);čez Planiko;5 h 55 min;12,48 km;zelo zahtevna označena pot;;1510;1725;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;72;104;0;https://www.hribi.net/izlet/uskovnica_razpotje_mali_triglav_cez_planiko/1/3/10703
4;19;Mangartsko sedlo (2055 m);46,44370°N 13,64160°E;Mangart (2679 m);Slovenska pot;2 h;1,94 km;zelo zahtevna označena pot;B;624;624;Julijske Alpe - zahodni del 1.50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;432387;36;277;https://www.hribi.net/izlet/mangartsko_sedlo_mangart_slovenska_pot/1/4/19
4;169;Mangartsko sedlo (2055 m);46,44370°N 13,64160°E;Mangart (2679 m);Italijanska pot;2 h;2,29 km;zahtevna označena pot;;624;624;Julijske Alpe - zahodni del 1:50.000;čelada;čelada, cepin, dereze;263270;27;137;https://www.hribi.net/izlet/mangartsko_sedlo_mangart_italijanska_pot/1/4/169
4;1762;Belopeška jezera (929 m);46,47330°N 13,67130°E;Mangart (2679 m);Via Italiana;5 h 30 min;6,42 km;izjemno zahtevna označena pot;C;1750;1800;Julijske Alpe - zahodni del 1: 50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;210592;74;252;https://www.hribi.net/izlet/belopeska_jezera_mangart_via_italiana/1/4/1762
4;1763;Loška Koritnica (727 m);46,41470°N 13,62950°E;Mangart (2679 m);;7 h;8,96 km;zelo zahtevna označena pot;B/C;1952;2050;Julijske Alpe - zahodni del 1 : 50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;44718;59;11;https://www.hribi.net/izlet/loska_koritnica_mangart/1/4/1763
4;6050;Pri Mlinču (1094 m);46,42340°N 13,59370°E;Mangart (2679 m);slovenska pot;4 h 45 min;7,98 km;zelo zahtevna označena pot;;1585;1585;Julijske Alpe - zahodni del 1:50.000;čelada, komplet za samovarovanje, svetilka;čelada, komplet za samovarovanje, cepin, dereze, svetilka;17580;96;1;https://www.hribi.net/izlet/pri_mlincu_mangart_slovenska_pot/1/4/6050
4;6049;Pri Mlinču (1094 m);46,42340°N 13,59370°E;Mangart (2679 m);italijanska pot;4 h 45 min;8,34 km;zahtevna označena pot;;1585;1585;Julijske Alpe - zahodni del 1:50.000;čelada, svetilka;čelada, cepin, dereze, svetilka;16660;87;0;https://www.hribi.net/izlet/pri_mlincu_mangart_italijanska_pot/1/4/6049
4;6045;Pri Mlinču (1094 m);46,42340°N 13,59370°E;Mangart (2679 m);čez Gladki rob in po slovenski poti;4 h 45 min;7,98 km;lahka neoznačena steza, zelo zahtevna označena pot;;1585;1595;Julijske Alpe - zahodni del 1:50.000;čelada;čelada, komplet za samovarovanje, cepin, dereze;14060;99;2;https://www.hribi.net/izlet/pri_mlincu_mangart_cez_gladki_rob_in_po_slovenski_poti/1/4/6045
4;6044;Pri Mlinču (1094 m);46,42340°N 13,59370°E;Mangart (2679 m);čez Gladki rob in po italijanski poti;4 h 45 min;8,34 km;lahka neoznačena steza, zahtevna označena pot;;1585;1595;Julijske Alpe - zahodni del 1:50.000;čelada;čelada, cepin, dereze;9770;90;0;https://www.hribi.net/izlet/pri_mlincu_mangart_cez_gladki_rob_in_po_italijanski_poti/1/4/6044
5;170;Poldov rovt (Vrata) (941 m);;Visoki Rokav (2646 m);;6 h 30 min;;alpinistični vzpon;;1705;1705;Triglav 1:25.000;čelada, cepin, dereze;čelada, cepin, dereze;46386;0;25;https://www.hribi.net/izlet/poldov_rovt_vrata_visoki_rokav/1/5/170
5;2890;Poldov rovt (Vrata) (941 m);;Visoki Rokav (2646 m);preko Velikega Oltarja (po grebenu);9 h;;alpinistični vzpon;;1705;1705;Triglav 1:25.000;čelada, cepin, dereze, svetilka;čelada, cepin, dereze, svetilka;21158;11;15;https://www.hribi.net/izlet/poldov_rovt_vrata_visoki_rokav_preko_velikega_oltarja_po_grebenu/1/5/2890
6;570;NC Planica (945 m);46,47600°N 13,72410°E;Jalovec (2645 m);mimo bivaka in čez Kotovo sedlo;6 h 10 min;9,97 km;zelo zahtevna označena pot;;1700;1725;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;250591;68;144;https://www.hribi.net/izlet/nc_planica_jalovec_mimo_bivaka_in_cez_kotovo_sedlo/1/6/570
6;569;Vršič (1611 m);46,43360°N 13,74350°E;Jalovec (2645 m);mimo Zavetišča pod Špičkom;6 h;9,15 km;zelo zahtevna označena pot;;1034;1450;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;141487;60;81;https://www.hribi.net/izlet/vrsic_jalovec_mimo_zavetisca_pod_spickom/1/6/569
6;173;Vršič (1611 m);46,43360°N 13,74350°E;Jalovec (2645 m);čez Jalovško škrbino;5 h 55 min;8,19 km;zelo zahtevna označena pot;;1034;1350;TNP 1:50.000;čelada;čelada, cepin, dereze;97760;55;92;https://www.hribi.net/izlet/vrsic_jalovec_cez_jalovsko_skrbino/1/6/173
6;175;Zadnja Trenta (Flori) (900 m);46,40430°N 13,70980°E;Jalovec (2645 m);mimo Zavetišča pod Špičkom;5 h 45 min;5,98 km;zelo zahtevna označena pot;;1745;1755;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;68820;46;48;https://www.hribi.net/izlet/zadnja_trenta_flori_jalovec_mimo_zavetisca_pod_spickom/1/6/175
6;571;NC Planica (945 m);46,47600°N 13,72410°E;Jalovec (2645 m);čez Jalovško škrbino;6 h 30 min;9,39 km;zelo zahtevna označena pot;;1700;1700;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;64834;62;71;https://www.hribi.net/izlet/nc_planica_jalovec_cez_jalovsko_skrbino/1/6/571
6;174;Zadnja Trenta (Flori) (900 m);46,40430°N 13,70980°E;Jalovec (2645 m);čez Jalovško škrbino;5 h 40 min;5,58 km;zelo zahtevna označena pot;;1745;1760;TNP 1:50.000;čelada;čelada, cepin, dereze;34511;46;21;https://www.hribi.net/izlet/zadnja_trenta_flori_jalovec_cez_jalovsko_skrbino/1/6/174
6;2893;Dom v Tamarju (1108 m);46,47600°N 13,72410°E;Jalovec (2645 m);zimski plezalni vzpon skozi zimski kamin;5 h 30 min;;zelo zahtevno brezpotje;;1537;1537;TNP 1:50.000, Kranjska Gora 1: 25.000, Julijske Alpe-zahodni del, 1: 50.000;Priporočena oprema (zima): čelada, cepin, dereze, svetilka;čelada, cepin, dereze, svetilka;25559;14;1;https://www.hribi.net/izlet/dom_v_tamarju_jalovec_zimski_plezalni_vzpon_skozi_zimski_kamin/1/6/2893
6;2301;Loška Koritnica (727 m);46,41470°N 13,62950°E;Jalovec (2645 m);mimo Zavetišča pod Špičkom;7 h 30 min;8,63 km;zelo zahtevna označena pot;;1918;2150;Julijske Alpe - zahodni del 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;24725;94;22;https://www.hribi.net/izlet/loska_koritnica_jalovec_mimo_zavetisca_pod_spickom/1/6/2301
6;4159;NC Planica (945 m);46,47600°N 13,72410°E;Jalovec (2645 m);po melišču in čez Kotovo sedlo;6 h 10 min;9,73 km;zelo zahtevna označena pot;;1700;1725;Kranjska Gora 1:30.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;21055;61;4;https://www.hribi.net/izlet/nc_planica_jalovec_po_meliscu_in_cez_kotovo_sedlo/1/6/4159
6;2305;Bavšica (698 m);46,36990°N 13,62990°E;Jalovec (2645 m);;7 h 35 min;9,67 km;zelo zahtevna označena pot;;1947;2200;Julijske Alpe - zahodni del 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;16812;93;0;https://www.hribi.net/izlet/bavsica_jalovec/1/6/2305
7;176;Poldov rovt (Vrata) (941 m);46,42160°N 13,86289°E;Veliki Oltar (2621 m);mimo bivaka;6 h;4,44 km;zelo zahtevno brezpotje;;1680;1680;Tiglav 1:25.000;čelada;čelada, cepin, dereze;66085;46;34;https://www.hribi.net/izlet/poldov_rovt_vrata_veliki_oltar_mimo_bivaka/1/7/176
7;4631;Ruski križ (1036 m);46,44440°N 13,77460°E;Veliki Oltar (2621 m);po SZ grebenu;6 h;;alpinistični vzpon;;1585;1820;TNP 1:50.000;čelada, cepin, dereze, svetilka;čelada, cepin, dereze, svetilka;21996;11;19;https://www.hribi.net/izlet/ruski_kriz_veliki_oltar_po_sz_grebenu/1/7/4631
8;177;Ruski križ (1036 m);46,44440°N 13,77460°E;Velika Martuljška Ponca (2602 m);;6 h;6,66 km;zelo zahtevno brezpotje;;1566;1725;TNP 1:50.000;čelada, cepin, dereze;čelada, cepin, dereze;40280;0;11;https://www.hribi.net/izlet/ruski_kriz_velika_martuljska_ponca/1/8/177
9;178;Zadnjica (642 m);46,38240°N 13,76040°E;Razor (2601 m);;6 h;11,03 km;zelo zahtevna označena pot;C;1959;1990;Triglav 1.25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;126199;69;55;https://www.hribi.net/izlet/zadnjica_razor/1/9/178
9;179;Vršič (1611 m);46,43360°N 13,74350°E;Razor (2601 m);;5 h 30 min;8,01 km;zelo zahtevna označena pot;C;990;1350;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;122432;68;81;https://www.hribi.net/izlet/vrsic_razor/1/9/179
9;267;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Razor (2601 m);čez Sovatno;6 h 30 min;8,44 km;zelo zahtevna označena pot;C;1614;1845;Triglav 1:25.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;70860;79;57;https://www.hribi.net/izlet/aljazev_dom_v_vratih_razor_cez_sovatno/1/9/267
9;760;Ruski križ (1036 m);46,44440°N 13,77460°E;Razor (2601 m);čez Kriško steno;7 h 30 min;9,77 km;zelo zahtevna označena pot;C;1565;2000;TNP 1:50.000;čelada, komplet za samovarovanje;čelada, komplet za samovarovanje, cepin, dereze;31563;110;9;https://www.hribi.net/izlet/ruski_kriz_razor_cez_krisko_steno/1/9/760
10;181;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Dolkova špica (2591 m);zahodna pot;5 h 15 min;6,48 km;zahtevna označena pot;;1604;1630;Triglav 1:25.000;čelada;čelada, cepin, dereze;55162;48;20;https://www.hribi.net/izlet/aljazev_dom_v_vratih_dolkova_spica_zahodna_pot/1/10/181
10;180;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Dolkova špica (2591 m);vzhodna pot;5 h 30 min;6,47 km;zelo zahtevna označena pot;;1604;1680;Triglav 1.25.000;čelada;čelada, cepin, dereze;25955;58;5;https://www.hribi.net/izlet/aljazev_dom_v_vratih_dolkova_spica_vzhodna_pot/1/10/180
10;3300;Aljažev dom v Vratih (987 m);46,41280°N 13,84660°E;Dolkova špica (2591 m);po JV grebenu;5 h;;zelo zahtevno brezpotje;;1604;1604;Triglav 1.25.000;čelada;čelada, cepin, dereze, svetilka;19437;10;16;https://www.hribi.net/izlet/aljazev_dom_v_vratih_dolkova_spica_po_jv_grebenu/1/10/3300
